Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,antagonizzajt
Perf,P1 Sg,-,-,Neg,antagonizzajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,antagonizzajtek
Perf,P1 Sg,P2 Sg,-,Neg,antagonizzajtekx
Perf,P1 Sg,P2 Pl,-,Pos,antagonizzajtkom
Perf,P1 Sg,P2 Pl,-,Neg,antagonizzajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,antagonizzajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,antagonizzajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,antagonizzajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,antagonizzajthiex
Perf,P1 Sg,P3 Pl,-,Pos,antagonizzajthom
Perf,P1 Sg,P3 Pl,-,Neg,antagonizzajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,antagonizzajtlek
Perf,P1 Sg,-,P2 Sg,Neg,antagonizzajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,antagonizzajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,antagonizzajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,antagonizzajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,antagonizzajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,antagonizzajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,antagonizzajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,antagonizzajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,antagonizzajtilhomx
