Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,bexxixt
Perf,P1 Sg,-,-,Neg,bexxixtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,bexxixtek
Perf,P1 Sg,P2 Sg,-,Neg,bexxixtekx
Perf,P1 Sg,P2 Pl,-,Pos,bexxixtkom
Perf,P1 Sg,P2 Pl,-,Neg,bexxixtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,bexxixtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,bexxixtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,bexxixtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,bexxixthiex
Perf,P1 Sg,P3 Pl,-,Pos,bexxixthom
Perf,P1 Sg,P3 Pl,-,Neg,bexxixthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,bexxixtlek
Perf,P1 Sg,-,P2 Sg,Neg,bexxixtlekx
Perf,P1 Sg,-,P2 Pl,Pos,bexxixtilkom
Perf,P1 Sg,-,P2 Pl,Neg,bexxixtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,bexxixtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,bexxixtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,bexxixtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,bexxixtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,bexxixtilhom
Perf,P1 Sg,-,P3 Pl,Neg,bexxixtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,bexxixthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,bexxixthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,bexxixthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,bexxixthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,bexxixthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,bexxixthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,bexxixthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,bexxixthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,bexxixthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,bexxixthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,bexxixthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,bexxixthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,bexxixthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,bexxixthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,bexxixthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,bexxixthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,bexxixthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,bexxixthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,bexxixthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,bexxixthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,bexxixthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,bexxixthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,bexxixthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,bexxixthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,bexxixthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,bexxixthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,bexxixthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,bexxixthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,bexxixthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,bexxixthomlhomx
Perf,P1 Pl,-,-,Pos,bexxixna
Perf,P1 Pl,-,-,Neg,bexxixniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,bexxixniek
Perf,P1 Pl,P2 Sg,-,Neg,bexxixnikx
Perf,P1 Pl,P2 Pl,-,Pos,bexxixniekom
Perf,P1 Pl,P2 Pl,-,Neg,bexxixnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,bexxixnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,bexxixnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,bexxixnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,bexxixnihiex
Perf,P1 Pl,P3 Pl,-,Pos,bexxixniehom
Perf,P1 Pl,P3 Pl,-,Neg,bexxixnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
