Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ftaħt
Perf,P1 Sg,-,-,Neg,ftaħtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ftaħtek
Perf,P1 Sg,P2 Sg,-,Neg,ftaħtekx
Perf,P1 Sg,P2 Pl,-,Pos,ftaħtkom
Perf,P1 Sg,P2 Pl,-,Neg,ftaħtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ftaħtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ftaħtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ftaħtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ftaħthiex
Perf,P1 Sg,P3 Pl,-,Pos,ftaħthom
Perf,P1 Sg,P3 Pl,-,Neg,ftaħthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ftaħtlek
Perf,P1 Sg,-,P2 Sg,Neg,ftaħtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ftaħtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ftaħtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ftaħtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ftaħtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ftaħtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ftaħtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ftaħtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ftaħtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ftaħthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ftaħthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ftaħthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ftaħthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ftaħthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ftaħthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ftaħthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ftaħthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ftaħthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ftaħthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ftaħthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ftaħthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ftaħthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ftaħthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ftaħthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ftaħthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ftaħthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ftaħthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ftaħthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ftaħthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ftaħthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ftaħthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ftaħthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ftaħthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ftaħthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ftaħthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ftaħthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ftaħthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ftaħthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ftaħthomlhomx
Perf,P1 Pl,-,-,Pos,ftaħna
Perf,P1 Pl,-,-,Neg,ftaħniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ftaħniek
Perf,P1 Pl,P2 Sg,-,Neg,ftaħnikx
Perf,P1 Pl,P2 Pl,-,Pos,ftaħniekom
Perf,P1 Pl,P2 Pl,-,Neg,ftaħnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ftaħnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ftaħnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ftaħnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ftaħnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ftaħniehom
Perf,P1 Pl,P3 Pl,-,Neg,ftaħnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,ftaħnielek
Perf,P1 Pl,-,P2 Sg,Neg,ftaħnilekx
Perf,P1 Pl,-,P2 Pl,Pos,ftaħnielkom
Perf,P1 Pl,-,P2 Pl,Neg,ftaħnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,ftaħnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,ftaħnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,ftaħnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,ftaħnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,ftaħnielhom
Perf,P1 Pl,-,P3 Pl,Neg,ftaħnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,ftaħnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,ftaħnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,ftaħnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,ftaħnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,ftaħnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,ftaħnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,ftaħnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,ftaħnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,ftaħnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,ftaħnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,ftaħnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,ftaħnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,ftaħnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,ftaħnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,ftaħnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,ftaħnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,ftaħnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,ftaħnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,ftaħnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,ftaħnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,ftaħnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,ftaħnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,ftaħnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,ftaħnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,ftaħnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,ftaħnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,ftaħnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,ftaħnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,ftaħnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,ftaħnihomlhomx
Perf,P2 Sg,-,-,Pos,ftaħt
Perf,P2 Sg,-,-,Neg,ftaħtx
Perf,P2 Sg,P1 Sg,-,Pos,ftaħtni
Perf,P2 Sg,P1 Sg,-,Neg,ftaħtnix
Perf,P2 Sg,P1 Pl,-,Pos,ftaħtna
Perf,P2 Sg,P1 Pl,-,Neg,ftaħtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,ftaħtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,ftaħtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,ftaħtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,ftaħthiex
Perf,P2 Sg,P3 Pl,-,Pos,ftaħthom
Perf,P2 Sg,P3 Pl,-,Neg,ftaħthomx
Perf,P2 Sg,-,P1 Sg,Pos,ftaħtli
Perf,P2 Sg,-,P1 Sg,Neg,ftaħtlix
Perf,P2 Sg,-,P1 Pl,Pos,ftaħtilna
Perf,P2 Sg,-,P1 Pl,Neg,ftaħtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,ftaħtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,ftaħtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,ftaħtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,ftaħtilhiex
Perf,P2 Sg,-,P3 Pl,Pos,ftaħtilhom
Perf,P2 Sg,-,P3 Pl,Neg,ftaħtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,ftaħthuli
