Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,għamilt
Perf,P1 Sg,-,-,Neg,għamiltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,għamiltek
Perf,P1 Sg,P2 Sg,-,Neg,għamiltekx
Perf,P1 Sg,P2 Pl,-,Pos,għamiltkom
Perf,P1 Sg,P2 Pl,-,Neg,għamiltkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,għamiltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,għamiltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,għamiltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,għamilthiex
Perf,P1 Sg,P3 Pl,-,Pos,għamilthom
Perf,P1 Sg,P3 Pl,-,Neg,għamilthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,għamiltlek
Perf,P1 Sg,-,P2 Sg,Neg,għamiltlekx
Perf,P1 Sg,-,P2 Pl,Pos,għamiltilkom
Perf,P1 Sg,-,P2 Pl,Neg,għamiltilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,għamiltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,għamiltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,għamiltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,għamiltilhiex
Perf,P1 Sg,-,P3 Pl,Pos,għamiltilhom
Perf,P1 Sg,-,P3 Pl,Neg,għamiltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,għamilthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,għamilthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,għamilthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,għamilthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,għamilthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,għamilthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,għamilthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,għamilthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,għamilthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,għamilthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,għamilthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,għamilthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,għamilthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,għamilthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,għamilthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,għamilthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,għamilthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,għamilthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,għamilthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,għamilthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,għamilthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,għamilthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,għamilthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,għamilthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,għamilthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,għamilthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,għamilthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,għamilthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,għamilthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,għamilthomlhomx
Perf,P1 Pl,-,-,Pos,għamilna
Perf,P1 Pl,-,-,Neg,għamilniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,għamilniek
Perf,P1 Pl,P2 Sg,-,Neg,għamilnikx
Perf,P1 Pl,P2 Pl,-,Pos,għamilniekom
Perf,P1 Pl,P2 Pl,-,Neg,għamilnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,għamilnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,għamilnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,għamilnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,għamilnihiex
Perf,P1 Pl,P3 Pl,-,Pos,għamilniehom
Perf,P1 Pl,P3 Pl,-,Neg,għamilnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,għamilnielek
Perf,P1 Pl,-,P2 Sg,Neg,għamilnilekx
Perf,P1 Pl,-,P2 Pl,Pos,għamilnielkom
Perf,P1 Pl,-,P2 Pl,Neg,għamilnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,għamilnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,għamilnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,għamilnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,għamilnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,għamilnielhom
Perf,P1 Pl,-,P3 Pl,Neg,għamilnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,għamilnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,għamilnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,għamilnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,għamilnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,għamilnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,għamilnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,għamilnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,għamilnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,għamilnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,għamilnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,għamilnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,għamilnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,għamilnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,għamilnihilkomx
