Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,għargħaxt
Perf,P1 Sg,-,-,Neg,għargħaxtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,għargħaxtek
Perf,P1 Sg,P2 Sg,-,Neg,għargħaxtekx
Perf,P1 Sg,P2 Pl,-,Pos,għargħaxtkom
Perf,P1 Sg,P2 Pl,-,Neg,għargħaxtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,għargħaxtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,għargħaxtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,għargħaxtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,għargħaxthiex
Perf,P1 Sg,P3 Pl,-,Pos,għargħaxthom
Perf,P1 Sg,P3 Pl,-,Neg,għargħaxthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,għargħaxtlek
Perf,P1 Sg,-,P2 Sg,Neg,għargħaxtlekx
Perf,P1 Sg,-,P2 Pl,Pos,għargħaxtilkom
Perf,P1 Sg,-,P2 Pl,Neg,għargħaxtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,għargħaxtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,għargħaxtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,għargħaxtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,għargħaxtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,għargħaxtilhom
Perf,P1 Sg,-,P3 Pl,Neg,għargħaxtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
