Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,kantajt
Perf,P1 Sg,-,-,Neg,kantajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,kantajtek
Perf,P1 Sg,P2 Sg,-,Neg,kantajtekx
Perf,P1 Sg,P2 Pl,-,Pos,kantajtkom
Perf,P1 Sg,P2 Pl,-,Neg,kantajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,kantajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,kantajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,kantajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,kantajthiex
Perf,P1 Sg,P3 Pl,-,Pos,kantajthom
Perf,P1 Sg,P3 Pl,-,Neg,kantajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,kantajtlek
Perf,P1 Sg,-,P2 Sg,Neg,kantajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,kantajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,kantajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,kantajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,kantajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,kantajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,kantajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,kantajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,kantajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,kantajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,kantajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,kantajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,kantajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,kantajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,kantajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,kantajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,kantajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,kantajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,kantajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,kantajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,kantajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,kantajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,kantajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,kantajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,kantajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,kantajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,kantajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,kantajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,kantajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,kantajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,kantajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,kantajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,kantajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,kantajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,kantajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,kantajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,kantajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,kantajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,kantajthomlhomx
Perf,P1 Pl,-,-,Pos,kantajna
Perf,P1 Pl,-,-,Neg,kantajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,kantajniek
Perf,P1 Pl,P2 Sg,-,Neg,kantajnikx
Perf,P1 Pl,P2 Pl,-,Pos,kantajniekom
Perf,P1 Pl,P2 Pl,-,Neg,kantajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,kantajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,kantajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,kantajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,kantajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,kantajniehom
Perf,P1 Pl,P3 Pl,-,Neg,kantajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,kantajnielek
Perf,P1 Pl,-,P2 Sg,Neg,kantajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,kantajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,kantajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,kantajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,kantajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,kantajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,kantajnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,kantajnielhom
Perf,P1 Pl,-,P3 Pl,Neg,kantajnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,kantajnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,kantajnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,kantajnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,kantajnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,kantajnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,kantajnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,kantajnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,kantajnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,kantajnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,kantajnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,kantajnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,kantajnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,kantajnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,kantajnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,kantajnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,kantajnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,kantajnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,kantajnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,kantajnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,kantajnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,kantajnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,kantajnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,kantajnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,kantajnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,kantajnihomlu
