Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,kissirt
Perf,P1 Sg,-,-,Neg,kissirtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,kissirtek
Perf,P1 Sg,P2 Sg,-,Neg,kissirtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,kissirtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,kissirtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,kissirtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,kissirthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,kissirtkom
Perf,P1 Sg,P2 Pl,-,Neg,kissirtkomx
Perf,P1 Sg,P3 Pl,-,Pos,kissirthom
Perf,P1 Sg,P3 Pl,-,Neg,kissirthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,kissirtlek
Perf,P1 Sg,-,P2 Sg,Neg,kissirtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,kissirtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,kissirtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,kissirtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,kissirtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,kissirtilkom
Perf,P1 Sg,-,P2 Pl,Neg,kissirtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,kissirtilhom
Perf,P1 Sg,-,P3 Pl,Neg,kissirtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,kissirthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,kissirthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,kissirthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,kissirthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,kissirthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,kissirthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,kissirthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,kissirthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,kissirthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,kissirthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
