Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,lgħabt
Perf,P1 Sg,-,-,Neg,lgħabtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,lgħabtek
Perf,P1 Sg,P2 Sg,-,Neg,lgħabtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,lgħabtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,lgħabtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,lgħabtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,lgħabthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,lgħabtkom
Perf,P1 Sg,P2 Pl,-,Neg,lgħabtkomx
Perf,P1 Sg,P3 Pl,-,Pos,lgħabthom
Perf,P1 Sg,P3 Pl,-,Neg,lgħabthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,lgħabtlek
Perf,P1 Sg,-,P2 Sg,Neg,lgħabtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,lgħabtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,lgħabtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,lgħabtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,lgħabtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,lgħabtilkom
Perf,P1 Sg,-,P2 Pl,Neg,lgħabtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,lgħabtilhom
Perf,P1 Sg,-,P3 Pl,Neg,lgħabtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,lgħabthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,lgħabthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,lgħabthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,lgħabthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,lgħabthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,lgħabthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,lgħabthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,lgħabthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,lgħabthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,lgħabthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
