Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ltqajt
Perf,P1 Sg,-,-,Neg,ltqajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ltqajtek
Perf,P1 Sg,P2 Sg,-,Neg,ltqajtekx
Perf,P1 Sg,P2 Pl,-,Pos,ltqajtkom
Perf,P1 Sg,P2 Pl,-,Neg,ltqajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ltqajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ltqajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ltqajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ltqajthiex
Perf,P1 Sg,P3 Pl,-,Pos,ltqajthom
Perf,P1 Sg,P3 Pl,-,Neg,ltqajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ltqajtlek
Perf,P1 Sg,-,P2 Sg,Neg,ltqajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ltqajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ltqajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ltqajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ltqajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ltqajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ltqajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ltqajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ltqajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ltqajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ltqajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ltqajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ltqajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ltqajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ltqajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ltqajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ltqajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ltqajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ltqajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ltqajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ltqajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ltqajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ltqajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ltqajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ltqajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ltqajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ltqajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ltqajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ltqajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ltqajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ltqajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ltqajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ltqajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ltqajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ltqajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ltqajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ltqajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ltqajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ltqajthomlhomx
Perf,P1 Pl,-,-,Pos,ltqajna
Perf,P1 Pl,-,-,Neg,ltqajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ltqajniek
Perf,P1 Pl,P2 Sg,-,Neg,ltqajnikx
Perf,P1 Pl,P2 Pl,-,Pos,ltqajniekom
Perf,P1 Pl,P2 Pl,-,Neg,ltqajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ltqajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ltqajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ltqajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ltqajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ltqajniehom
Perf,P1 Pl,P3 Pl,-,Neg,ltqajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,ltqajnielek
Perf,P1 Pl,-,P2 Sg,Neg,ltqajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,ltqajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,ltqajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,ltqajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,ltqajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,ltqajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,ltqajnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,ltqajnielhom
Perf,P1 Pl,-,P3 Pl,Neg,ltqajnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,ltqajnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,ltqajnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,ltqajnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,ltqajnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,ltqajnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,ltqajnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,ltqajnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,ltqajnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,ltqajnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,ltqajnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,ltqajnihielek
