Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,mxejt
Perf,P1 Sg,-,-,Neg,mxejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,mxejtek
Perf,P1 Sg,P2 Sg,-,Neg,mxejtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,mxejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,mxejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,mxejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,mxejthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,mxejtkom
Perf,P1 Sg,P2 Pl,-,Neg,mxejtkomx
Perf,P1 Sg,P3 Pl,-,Pos,mxejthom
Perf,P1 Sg,P3 Pl,-,Neg,mxejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,mxejtlek
Perf,P1 Sg,-,P2 Sg,Neg,mxejtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,mxejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,mxejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,mxejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,mxejtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,mxejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,mxejtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,mxejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,mxejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,mxejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,mxejthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,mxejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,mxejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,mxejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,mxejthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,mxejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,mxejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,mxejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,mxejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,mxejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,mxejthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,mxejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,mxejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,mxejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,mxejthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,mxejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,mxejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,mxejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,mxejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,mxejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,mxejthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,mxejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,mxejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,mxejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,mxejthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
