Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,mteddejt
Perf,P1 Sg,-,-,Neg,mteddejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,mteddejtek
Perf,P1 Sg,P2 Sg,-,Neg,mteddejtekx
Perf,P1 Sg,P2 Pl,-,Pos,mteddejtkom
Perf,P1 Sg,P2 Pl,-,Neg,mteddejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,mteddejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,mteddejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,mteddejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,mteddejthiex
Perf,P1 Sg,P3 Pl,-,Pos,mteddejthom
Perf,P1 Sg,P3 Pl,-,Neg,mteddejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,mteddejtlek
Perf,P1 Sg,-,P2 Sg,Neg,mteddejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,mteddejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,mteddejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,mteddejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,mteddejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,mteddejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,mteddejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,mteddejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,mteddejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,mteddejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,mteddejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,mteddejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,mteddejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,mteddejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,mteddejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,mteddejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,mteddejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,mteddejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,mteddejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,mteddejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,mteddejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,mteddejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,mteddejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,mteddejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,mteddejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,mteddejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,mteddejthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,mteddejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,mteddejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,mteddejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,mteddejthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,mteddejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,mteddejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,mteddejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,mteddejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,mteddejthomlha
