Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,mtlejt
Perf,P1 Sg,-,-,Neg,mtlejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,mtlejtek
Perf,P1 Sg,P2 Sg,-,Neg,mtlejtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,mtlejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,mtlejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,mtlejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,mtlejthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,mtlejtkom
Perf,P1 Sg,P2 Pl,-,Neg,mtlejtkomx
Perf,P1 Sg,P3 Pl,-,Pos,mtlejthom
Perf,P1 Sg,P3 Pl,-,Neg,mtlejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,mtlejtlek
Perf,P1 Sg,-,P2 Sg,Neg,mtlejtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,mtlejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,mtlejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,mtlejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,mtlejtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,mtlejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,mtlejtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,mtlejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,mtlejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,mtlejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,mtlejthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,mtlejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,mtlejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,mtlejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,mtlejthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,mtlejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,mtlejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,mtlejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,mtlejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,mtlejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,mtlejthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,mtlejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,mtlejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,mtlejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,mtlejthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,mtlejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,mtlejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,mtlejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,mtlejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,mtlejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,mtlejthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,mtlejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,mtlejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,mtlejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,mtlejthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,mtlejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,mtlejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,mtlejthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,mtlejthomlhomx
Perf,P2 Sg,-,-,Pos,mtlejt
Perf,P2 Sg,-,-,Neg,mtlejtx
Perf,P2 Sg,P1 Sg,-,Pos,mtlejtni
Perf,P2 Sg,P1 Sg,-,Neg,mtlejtnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,mtlejtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,mtlejtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,mtlejtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,mtlejthiex
Perf,P2 Sg,P1 Pl,-,Pos,mtlejtna
Perf,P2 Sg,P1 Pl,-,Neg,mtlejtniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,mtlejthom
Perf,P2 Sg,P3 Pl,-,Neg,mtlejthomx
Perf,P2 Sg,-,P1 Sg,Pos,mtlejtli
Perf,P2 Sg,-,P1 Sg,Neg,mtlejtlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,mtlejtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,mtlejtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,mtlejtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,mtlejtilhiex
Perf,P2 Sg,-,P1 Pl,Pos,mtlejtilna
Perf,P2 Sg,-,P1 Pl,Neg,mtlejtilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,mtlejtilhom
Perf,P2 Sg,-,P3 Pl,Neg,mtlejtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,mtlejthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,mtlejthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,mtlejthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,mtlejthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,mtlejthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,mtlejthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,mtlejthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,mtlejthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,mtlejthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,mtlejthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,mtlejthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,mtlejthilix
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,mtlejthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,mtlejthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,mtlejthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,mtlejthilhiex
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,mtlejthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,mtlejthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,mtlejthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,mtlejthilhomx
