Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ktibt
Perf,P1 Sg,-,-,Neg,ktibtx
Perf,P1 Sg,P1 Sg,-,Pos,ktibtni
Perf,P1 Sg,P1 Sg,-,Neg,ktibtnix
Perf,P1 Sg,P1 Pl,-,Pos,ktibtna
Perf,P1 Sg,P1 Pl,-,Neg,ktibtniex
Perf,P1 Sg,P2 Sg,-,Pos,ktibtek
Perf,P1 Sg,P2 Sg,-,Neg,ktibtekx
Perf,P1 Sg,P2 Pl,-,Pos,ktibtkom
Perf,P1 Sg,P2 Pl,-,Neg,ktibtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ktibtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ktibthux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ktibtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ktibthiex
Perf,P1 Sg,P3 Pl,-,Pos,ktibthom
Perf,P1 Sg,P3 Pl,-,Neg,ktibthomx
Perf,P1 Sg,-,P1 Sg,Pos,ktibtli
Perf,P1 Sg,-,P1 Sg,Neg,ktibtlix
Perf,P1 Sg,-,P1 Pl,Pos,ktibtilna
Perf,P1 Sg,-,P1 Pl,Neg,ktibtilniex
Perf,P1 Sg,-,P2 Sg,Pos,ktibtlek
Perf,P1 Sg,-,P2 Sg,Neg,ktibtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ktibtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ktibtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ktibtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ktibtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ktibtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ktibtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ktibtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ktibtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,ktibthuli
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,ktibthulix
