aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,neħħejt
Perf,P1 Sg,-,-,Neg,neħħejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,neħħejtek
Perf,P1 Sg,P2 Sg,-,Neg,neħħejtekx
Perf,P1 Sg,P2 Pl,-,Pos,neħħejtkom
Perf,P1 Sg,P2 Pl,-,Neg,neħħejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,neħħejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,neħħejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,neħħejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,neħħejthiex
Perf,P1 Sg,P3 Pl,-,Pos,neħħejthom
Perf,P1 Sg,P3 Pl,-,Neg,neħħejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,neħħejtlek
Perf,P1 Sg,-,P2 Sg,Neg,neħħejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,neħħejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,neħħejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,neħħejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,neħħejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,neħħejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,neħħejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,neħħejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,neħħejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,neħħejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,neħħejthulekx
