aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,nqtajt
Perf,P1 Sg,-,-,Neg,nqtajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,nqtajtek
Perf,P1 Sg,P2 Sg,-,Neg,nqtajtekx
Perf,P1 Sg,P2 Pl,-,Pos,nqtajtkom
Perf,P1 Sg,P2 Pl,-,Neg,nqtajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,nqtajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,nqtajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,nqtajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,nqtajthiex
Perf,P1 Sg,P3 Pl,-,Pos,nqtajthom
Perf,P1 Sg,P3 Pl,-,Neg,nqtajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,nqtajtlek
Perf,P1 Sg,-,P2 Sg,Neg,nqtajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,nqtajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,nqtajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,nqtajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,nqtajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,nqtajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,nqtajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,nqtajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,nqtajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,nqtajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,nqtajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,nqtajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,nqtajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,nqtajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,nqtajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,nqtajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,nqtajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,nqtajthulhom
