Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ntfaqt
Perf,P1 Sg,-,-,Neg,ntfaqtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ntfaqtek
Perf,P1 Sg,P2 Sg,-,Neg,ntfaqtekx
Perf,P1 Sg,P2 Pl,-,Pos,ntfaqtkom
Perf,P1 Sg,P2 Pl,-,Neg,ntfaqtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ntfaqtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ntfaqtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ntfaqtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ntfaqthiex
Perf,P1 Sg,P3 Pl,-,Pos,ntfaqthom
Perf,P1 Sg,P3 Pl,-,Neg,ntfaqthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ntfaqtlek
Perf,P1 Sg,-,P2 Sg,Neg,ntfaqtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ntfaqtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ntfaqtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ntfaqtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ntfaqtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ntfaqtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ntfaqtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ntfaqtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ntfaqtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ntfaqthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ntfaqthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ntfaqthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ntfaqthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ntfaqthulu
