Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ntiżint
Perf,P1 Sg,-,-,Neg,ntiżintx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ntiżintek
Perf,P1 Sg,P2 Sg,-,Neg,ntiżintekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ntiżintu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ntiżintux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ntiżintha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ntiżinthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,ntiżintkom
Perf,P1 Sg,P2 Pl,-,Neg,ntiżintkomx
Perf,P1 Sg,P3 Pl,-,Pos,ntiżinthom
Perf,P1 Sg,P3 Pl,-,Neg,ntiżinthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ntiżintlek
Perf,P1 Sg,-,P2 Sg,Neg,ntiżintlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ntiżintlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ntiżintlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ntiżintilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ntiżintilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,ntiżintilkom
Perf,P1 Sg,-,P2 Pl,Neg,ntiżintilkomx
Perf,P1 Sg,-,P3 Pl,Pos,ntiżintilhom
Perf,P1 Sg,-,P3 Pl,Neg,ntiżintilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ntiżinthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ntiżinthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ntiżinthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ntiżinthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ntiżinthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ntiżinthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ntiżinthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ntiżinthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ntiżinthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ntiżinthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ntiżinthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ntiżinthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ntiżinthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ntiżinthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ntiżinthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ntiżinthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ntiżinthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ntiżinthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ntiżinthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ntiżinthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ntiżinthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ntiżinthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ntiżinthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ntiżinthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ntiżinthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ntiżinthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ntiżinthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ntiżinthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ntiżinthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ntiżinthomlhomx
Perf,P2 Sg,-,-,Pos,ntiżint
Perf,P2 Sg,-,-,Neg,ntiżintx
Perf,P2 Sg,P1 Sg,-,Pos,ntiżintni
Perf,P2 Sg,P1 Sg,-,Neg,ntiżintnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,ntiżintu
Perf,P2 Sg,P3 Sg Masc,-,Neg,ntiżintux
Perf,P2 Sg,P3 Sg Fem,-,Pos,ntiżintha
Perf,P2 Sg,P3 Sg Fem,-,Neg,ntiżinthiex
Perf,P2 Sg,P1 Pl,-,Pos,ntiżintna
Perf,P2 Sg,P1 Pl,-,Neg,ntiżintniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,ntiżinthom
