Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,nġbart
Perf,P1 Sg,-,-,Neg,nġbartx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,nġbartek
Perf,P1 Sg,P2 Sg,-,Neg,nġbartekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,nġbartu
Perf,P1 Sg,P3 Sg Masc,-,Neg,nġbartux
Perf,P1 Sg,P3 Sg Fem,-,Pos,nġbartha
Perf,P1 Sg,P3 Sg Fem,-,Neg,nġbarthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,nġbartkom
Perf,P1 Sg,P2 Pl,-,Neg,nġbartkomx
Perf,P1 Sg,P3 Pl,-,Pos,nġbarthom
Perf,P1 Sg,P3 Pl,-,Neg,nġbarthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,nġbartlek
Perf,P1 Sg,-,P2 Sg,Neg,nġbartlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,nġbartlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,nġbartlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,nġbartilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,nġbartilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,nġbartilkom
Perf,P1 Sg,-,P2 Pl,Neg,nġbartilkomx
Perf,P1 Sg,-,P3 Pl,Pos,nġbartilhom
Perf,P1 Sg,-,P3 Pl,Neg,nġbartilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,nġbarthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,nġbarthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,nġbarthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,nġbarthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,nġbarthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,nġbarthulhiex
