Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,nħsilt
Perf,P1 Sg,-,-,Neg,nħsiltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,nħsiltek
Perf,P1 Sg,P2 Sg,-,Neg,nħsiltekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,nħsiltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,nħsiltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,nħsiltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,nħsilthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,nħsiltkom
Perf,P1 Sg,P2 Pl,-,Neg,nħsiltkomx
Perf,P1 Sg,P3 Pl,-,Pos,nħsilthom
Perf,P1 Sg,P3 Pl,-,Neg,nħsilthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,nħsiltlek
Perf,P1 Sg,-,P2 Sg,Neg,nħsiltlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,nħsiltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,nħsiltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,nħsiltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,nħsiltilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,nħsiltilkom
Perf,P1 Sg,-,P2 Pl,Neg,nħsiltilkomx
Perf,P1 Sg,-,P3 Pl,Pos,nħsiltilhom
Perf,P1 Sg,-,P3 Pl,Neg,nħsiltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,nħsilthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,nħsilthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,nħsilthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,nħsilthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,nħsilthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,nħsilthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,nħsilthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,nħsilthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,nħsilthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,nħsilthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,nħsilthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,nħsilthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,nħsilthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,nħsilthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,nħsilthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,nħsilthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,nħsilthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,nħsilthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,nħsilthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,nħsilthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
