aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,qajjimt
Perf,P1 Sg,-,-,Neg,qajjimtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,qajjimtek
Perf,P1 Sg,P2 Sg,-,Neg,qajjimtekx
Perf,P1 Sg,P2 Pl,-,Pos,qajjimtkom
Perf,P1 Sg,P2 Pl,-,Neg,qajjimtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,qajjimtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,qajjimtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,qajjimtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,qajjimthiex
Perf,P1 Sg,P3 Pl,-,Pos,qajjimthom
Perf,P1 Sg,P3 Pl,-,Neg,qajjimthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,qajjimtlek
Perf,P1 Sg,-,P2 Sg,Neg,qajjimtlekx
Perf,P1 Sg,-,P2 Pl,Pos,qajjimtilkom
Perf,P1 Sg,-,P2 Pl,Neg,qajjimtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,qajjimtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,qajjimtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,qajjimtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,qajjimtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,qajjimtilhom
Perf,P1 Sg,-,P3 Pl,Neg,qajjimtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,qajjimthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,qajjimthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,qajjimthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,qajjimthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qajjimthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qajjimthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qajjimthulha
