Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,qrajt
Perf,P1 Sg,-,-,Neg,qrajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,qrajtek
Perf,P1 Sg,P2 Sg,-,Neg,qrajtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,qrajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,qrajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,qrajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,qrajthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,qrajtkom
Perf,P1 Sg,P2 Pl,-,Neg,qrajtkomx
Perf,P1 Sg,P3 Pl,-,Pos,qrajthom
Perf,P1 Sg,P3 Pl,-,Neg,qrajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,qrajtlek
Perf,P1 Sg,-,P2 Sg,Neg,qrajtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,qrajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,qrajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,qrajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,qrajtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,qrajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,qrajtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,qrajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,qrajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,qrajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,qrajthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qrajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qrajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qrajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qrajthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,qrajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,qrajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,qrajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,qrajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,qrajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,qrajthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qrajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qrajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qrajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qrajthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,qrajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,qrajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,qrajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,qrajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,qrajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,qrajthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,qrajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,qrajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,qrajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,qrajthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,qrajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,qrajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,qrajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,qrajthomlhomx
Perf,P2 Sg,-,-,Pos,qrajt
Perf,P2 Sg,-,-,Neg,qrajtx
Perf,P2 Sg,P1 Sg,-,Pos,qrajtni
Perf,P2 Sg,P1 Sg,-,Neg,qrajtnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,qrajtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,qrajtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,qrajtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,qrajthiex
Perf,P2 Sg,P1 Pl,-,Pos,qrajtna
Perf,P2 Sg,P1 Pl,-,Neg,qrajtniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,qrajthom
Perf,P2 Sg,P3 Pl,-,Neg,qrajthomx
Perf,P2 Sg,-,P1 Sg,Pos,qrajtli
Perf,P2 Sg,-,P1 Sg,Neg,qrajtlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,qrajtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,qrajtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,qrajtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,qrajtilhiex
Perf,P2 Sg,-,P1 Pl,Pos,qrajtilna
Perf,P2 Sg,-,P1 Pl,Neg,qrajtilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,qrajtilhom
Perf,P2 Sg,-,P3 Pl,Neg,qrajtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,qrajthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,qrajthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qrajthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qrajthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qrajthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qrajthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,qrajthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,qrajthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,qrajthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,qrajthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,qrajthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,qrajthilix
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qrajthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qrajthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qrajthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qrajthilhiex
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,qrajthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,qrajthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,qrajthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,qrajthilhomx
Perf,P2 Sg,P3 Pl,P1 Sg,Pos,qrajthomli
Perf,P2 Sg,P3 Pl,P1 Sg,Neg,qrajthomlix
Perf,P2 Sg,P3 Pl,P2 Sg,Pos,-
Perf,P2 Sg,P3 Pl,P2 Sg,Neg,-
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Pos,qrajthomlu
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Neg,qrajthomlux
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Pos,qrajthomlha
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Neg,qrajthomlhiex
Perf,P2 Sg,P3 Pl,P1 Pl,Pos,qrajthomlna
Perf,P2 Sg,P3 Pl,P1 Pl,Neg,qrajthomlniex
Perf,P2 Sg,P3 Pl,P2 Pl,Pos,-
Perf,P2 Sg,P3 Pl,P2 Pl,Neg,-
Perf,P2 Sg,P3 Pl,P3 Pl,Pos,qrajthomlhom
Perf,P2 Sg,P3 Pl,P3 Pl,Neg,qrajthomlhomx
Perf,P3 Sg Masc,-,-,Pos,qara
Perf,P3 Sg Masc,-,-,Neg,qarax
Perf,P3 Sg Masc,P1 Sg,-,Pos,qarani
Perf,P3 Sg Masc,P1 Sg,-,Neg,qaranix
Perf,P3 Sg Masc,P2 Sg,-,Pos,qarak
Perf,P3 Sg Masc,P2 Sg,-,Neg,qarakx
Perf,P3 Sg Masc,P3 Sg Masc,-,Pos,qarah
Perf,P3 Sg Masc,P3 Sg Masc,-,Neg,qarahx
Perf,P3 Sg Masc,P3 Sg Fem,-,Pos,qaraha
Perf,P3 Sg Masc,P3 Sg Fem,-,Neg,qarahiex
Perf,P3 Sg Masc,P1 Pl,-,Pos,qarana
Perf,P3 Sg Masc,P1 Pl,-,Neg,qaraniex
Perf,P3 Sg Masc,P2 Pl,-,Pos,qarakom
Perf,P3 Sg Masc,P2 Pl,-,Neg,qarakomx
Perf,P3 Sg Masc,P3 Pl,-,Pos,qarahom
Perf,P3 Sg Masc,P3 Pl,-,Neg,qarahomx
Perf,P3 Sg Masc,-,P1 Sg,Pos,qarali
Perf,P3 Sg Masc,-,P1 Sg,Neg,qaralix
Perf,P3 Sg Masc,-,P2 Sg,Pos,qaralek
Perf,P3 Sg Masc,-,P2 Sg,Neg,qaralekx
Perf,P3 Sg Masc,-,P3 Sg Masc,Pos,qaralu
Perf,P3 Sg Masc,-,P3 Sg Masc,Neg,qaralux
Perf,P3 Sg Masc,-,P3 Sg Fem,Pos,qaralha
Perf,P3 Sg Masc,-,P3 Sg Fem,Neg,qaralhiex
Perf,P3 Sg Masc,-,P1 Pl,Pos,qaralna
Perf,P3 Sg Masc,-,P1 Pl,Neg,qaralniex
Perf,P3 Sg Masc,-,P2 Pl,Pos,qaralkom
Perf,P3 Sg Masc,-,P2 Pl,Neg,qaralkomx
Perf,P3 Sg Masc,-,P3 Pl,Pos,qaralhom
Perf,P3 Sg Masc,-,P3 Pl,Neg,qaralhomx
Perf,P3 Sg Masc,P3 Sg Masc,P1 Sg,Pos,qarahuli
Perf,P3 Sg Masc,P3 Sg Masc,P1 Sg,Neg,qarahulix
Perf,P3 Sg Masc,P3 Sg Masc,P2 Sg,Pos,qarahulek
Perf,P3 Sg Masc,P3 Sg Masc,P2 Sg,Neg,qarahulekx
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Masc,Pos,qarahulu
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Masc,Neg,qarahulux
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Fem,Pos,qarahulha
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Fem,Neg,qarahulhiex
Perf,P3 Sg Masc,P3 Sg Masc,P1 Pl,Pos,qarahulna
Perf,P3 Sg Masc,P3 Sg Masc,P1 Pl,Neg,qarahulniex
Perf,P3 Sg Masc,P3 Sg Masc,P2 Pl,Pos,qarahulkom
Perf,P3 Sg Masc,P3 Sg Masc,P2 Pl,Neg,qarahulkomx
Perf,P3 Sg Masc,P3 Sg Masc,P3 Pl,Pos,qarahulhom
Perf,P3 Sg Masc,P3 Sg Masc,P3 Pl,Neg,qarahulhomx
Perf,P3 Sg Masc,P3 Sg Fem,P1 Sg,Pos,qarahieli
Perf,P3 Sg Masc,P3 Sg Fem,P1 Sg,Neg,qarahilix
Perf,P3 Sg Masc,P3 Sg Fem,P2 Sg,Pos,qarahielek
Perf,P3 Sg Masc,P3 Sg Fem,P2 Sg,Neg,qarahilekx
Perf,P3 Sg Masc,P3 Sg Fem,P3 Sg Masc,Pos,qarahielu
Perf,P3 Sg Masc,P3 Sg Fem,P3 Sg Masc,Neg,qarahilux
Perf,P3 Sg Masc,P3 Sg Fem,P3 Sg Fem,Pos,qarahielha
Perf,P3 Sg Masc,P3 Sg Fem,P3 Sg Fem,Neg,qarahilhiex
Perf,P3 Sg Masc,P3 Sg Fem,P1 Pl,Pos,qarahielna
Perf,P3 Sg Masc,P3 Sg Fem,P1 Pl,Neg,qarahilniex
