Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,qtajt
Perf,P1 Sg,-,-,Neg,qtajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,qtajtek
Perf,P1 Sg,P2 Sg,-,Neg,qtajtekx
Perf,P1 Sg,P2 Pl,-,Pos,qtajtkom
Perf,P1 Sg,P2 Pl,-,Neg,qtajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,qtajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,qtajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,qtajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,qtajthiex
Perf,P1 Sg,P3 Pl,-,Pos,qtajthom
Perf,P1 Sg,P3 Pl,-,Neg,qtajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,qtajtlek
Perf,P1 Sg,-,P2 Sg,Neg,qtajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,qtajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,qtajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,qtajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,qtajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,qtajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,qtajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,qtajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,qtajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,qtajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,qtajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,qtajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,qtajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qtajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qtajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qtajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qtajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,qtajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,qtajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,qtajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,qtajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,qtajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,qtajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qtajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qtajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qtajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qtajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,qtajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,qtajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,qtajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,qtajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,qtajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,qtajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,qtajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,qtajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,qtajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,qtajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,qtajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,qtajthomlhomx
Perf,P1 Pl,-,-,Pos,qtajna
Perf,P1 Pl,-,-,Neg,qtajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,qtajniek
Perf,P1 Pl,P2 Sg,-,Neg,qtajnikx
Perf,P1 Pl,P2 Pl,-,Pos,qtajniekom
Perf,P1 Pl,P2 Pl,-,Neg,qtajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,qtajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,qtajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,qtajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,qtajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,qtajniehom
Perf,P1 Pl,P3 Pl,-,Neg,qtajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,qtajnielek
Perf,P1 Pl,-,P2 Sg,Neg,qtajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,qtajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,qtajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,qtajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,qtajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,qtajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,qtajnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,qtajnielhom
Perf,P1 Pl,-,P3 Pl,Neg,qtajnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,qtajnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,qtajnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,qtajnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,qtajnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,qtajnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,qtajnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,qtajnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,qtajnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,qtajnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,qtajnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,qtajnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,qtajnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,qtajnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,qtajnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,qtajnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,qtajnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,qtajnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,qtajnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,qtajnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,qtajnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,qtajnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,qtajnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,qtajnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,qtajnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,qtajnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,qtajnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,qtajnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,qtajnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,qtajnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,qtajnihomlhomx
Perf,P2 Sg,-,-,Pos,qtajt
Perf,P2 Sg,-,-,Neg,qtajtx
Perf,P2 Sg,P1 Sg,-,Pos,qtajtni
Perf,P2 Sg,P1 Sg,-,Neg,qtajtnix
Perf,P2 Sg,P1 Pl,-,Pos,qtajtna
Perf,P2 Sg,P1 Pl,-,Neg,qtajtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,qtajtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,qtajtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,qtajtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,qtajthiex
Perf,P2 Sg,P3 Pl,-,Pos,qtajthom
Perf,P2 Sg,P3 Pl,-,Neg,qtajthomx
Perf,P2 Sg,-,P1 Sg,Pos,qtajtli
Perf,P2 Sg,-,P1 Sg,Neg,qtajtlix
Perf,P2 Sg,-,P1 Pl,Pos,qtajtilna
Perf,P2 Sg,-,P1 Pl,Neg,qtajtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,qtajtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,qtajtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,qtajtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,qtajtilhiex
Perf,P2 Sg,-,P3 Pl,Pos,qtajtilhom
Perf,P2 Sg,-,P3 Pl,Neg,qtajtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,qtajthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,qtajthulix
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,qtajthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,qtajthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qtajthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qtajthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qtajthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qtajthulhiex
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,qtajthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,qtajthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,qtajthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,qtajthilix
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,qtajthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,qtajthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qtajthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qtajthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qtajthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qtajthilhiex
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,qtajthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,qtajthilhomx
Perf,P2 Sg,P3 Pl,P1 Sg,Pos,qtajthomli
Perf,P2 Sg,P3 Pl,P1 Sg,Neg,qtajthomlix
Perf,P2 Sg,P3 Pl,P1 Pl,Pos,qtajthomlna
Perf,P2 Sg,P3 Pl,P1 Pl,Neg,qtajthomlniex
Perf,P2 Sg,P3 Pl,P2 Sg,Pos,-
Perf,P2 Sg,P3 Pl,P2 Sg,Neg,-
Perf,P2 Sg,P3 Pl,P2 Pl,Pos,-
Perf,P2 Sg,P3 Pl,P2 Pl,Neg,-
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Pos,qtajthomlu
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Neg,qtajthomlux
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Pos,qtajthomlha
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Neg,qtajthomlhiex
Perf,P2 Sg,P3 Pl,P3 Pl,Pos,qtajthomlhom
Perf,P2 Sg,P3 Pl,P3 Pl,Neg,qtajthomlhomx
Perf,P2 Pl,-,-,Pos,qtajtu
Perf,P2 Pl,-,-,Neg,qtajtux
Perf,P2 Pl,P1 Sg,-,Pos,qtajtuni
Perf,P2 Pl,P1 Sg,-,Neg,qtajtunix
Perf,P2 Pl,P1 Pl,-,Pos,qtajtuna
Perf,P2 Pl,P1 Pl,-,Neg,qtajtuniex
Perf,P2 Pl,P2 Sg,-,Pos,-
Perf,P2 Pl,P2 Sg,-,Neg,-
Perf,P2 Pl,P2 Pl,-,Pos,-
Perf,P2 Pl,P2 Pl,-,Neg,-
Perf,P2 Pl,P3 Sg Masc,-,Pos,qtajtuh
Perf,P2 Pl,P3 Sg Masc,-,Neg,qtajtuhx
Perf,P2 Pl,P3 Sg Fem,-,Pos,qtajtuha
Perf,P2 Pl,P3 Sg Fem,-,Neg,qtajtuhiex
Perf,P2 Pl,P3 Pl,-,Pos,qtajtuhom
Perf,P2 Pl,P3 Pl,-,Neg,qtajtuhomx
Perf,P2 Pl,-,P1 Sg,Pos,qtajtuli
Perf,P2 Pl,-,P1 Sg,Neg,qtajtulix
Perf,P2 Pl,-,P1 Pl,Pos,qtajtulna
Perf,P2 Pl,-,P1 Pl,Neg,qtajtulniex
Perf,P2 Pl,-,P2 Sg,Pos,-
Perf,P2 Pl,-,P2 Sg,Neg,-
Perf,P2 Pl,-,P2 Pl,Pos,-
Perf,P2 Pl,-,P2 Pl,Neg,-
Perf,P2 Pl,-,P3 Sg Masc,Pos,qtajtulu
Perf,P2 Pl,-,P3 Sg Masc,Neg,qtajtulux
Perf,P2 Pl,-,P3 Sg Fem,Pos,qtajtulha
