Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,qattajt
Perf,P1 Sg,-,-,Neg,qattajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,qattajtek
Perf,P1 Sg,P2 Sg,-,Neg,qattajtekx
Perf,P1 Sg,P2 Pl,-,Pos,qattajtkom
Perf,P1 Sg,P2 Pl,-,Neg,qattajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,qattajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,qattajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,qattajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,qattajthiex
Perf,P1 Sg,P3 Pl,-,Pos,qattajthom
Perf,P1 Sg,P3 Pl,-,Neg,qattajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,qattajtlek
Perf,P1 Sg,-,P2 Sg,Neg,qattajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,qattajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,qattajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,qattajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,qattajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,qattajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,qattajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,qattajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,qattajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,qattajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,qattajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,qattajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,qattajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qattajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qattajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qattajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qattajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,qattajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,qattajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,qattajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,qattajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,qattajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,qattajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qattajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qattajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qattajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qattajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,qattajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,qattajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,qattajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,qattajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,qattajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,qattajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,qattajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,qattajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,qattajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,qattajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,qattajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,qattajthomlhomx
Perf,P1 Pl,-,-,Pos,qattajna
Perf,P1 Pl,-,-,Neg,qattajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,qattajniek
Perf,P1 Pl,P2 Sg,-,Neg,qattajnikx
Perf,P1 Pl,P2 Pl,-,Pos,qattajniekom
Perf,P1 Pl,P2 Pl,-,Neg,qattajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,qattajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,qattajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,qattajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,qattajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,qattajniehom
Perf,P1 Pl,P3 Pl,-,Neg,qattajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,qattajnielek
Perf,P1 Pl,-,P2 Sg,Neg,qattajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,qattajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,qattajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,qattajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,qattajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,qattajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,qattajnilhiex
