Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,qegħidt
Perf,P1 Sg,-,-,Neg,qegħidtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,qegħidtek
Perf,P1 Sg,P2 Sg,-,Neg,qegħidtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,qegħidtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,qegħidtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,qegħidtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,qegħidthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,qegħidtkom
Perf,P1 Sg,P2 Pl,-,Neg,qegħidtkomx
Perf,P1 Sg,P3 Pl,-,Pos,qegħidthom
Perf,P1 Sg,P3 Pl,-,Neg,qegħidthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,qegħidtlek
Perf,P1 Sg,-,P2 Sg,Neg,qegħidtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,qegħidtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,qegħidtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,qegħidtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,qegħidtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,qegħidtilkom
Perf,P1 Sg,-,P2 Pl,Neg,qegħidtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,qegħidtilhom
Perf,P1 Sg,-,P3 Pl,Neg,qegħidtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,qegħidthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,qegħidthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,qegħidthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,qegħidthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,qegħidthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,qegħidthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,qegħidthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,qegħidthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,qegħidthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,qegħidthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,qegħidthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,qegħidthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,qegħidthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,qegħidthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,qegħidthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,qegħidthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
