Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,rqaqt
Perf,P1 Sg,-,-,Neg,rqaqtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,rqaqtek
Perf,P1 Sg,P2 Sg,-,Neg,rqaqtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,rqaqtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,rqaqtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,rqaqtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,rqaqthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,rqaqtkom
Perf,P1 Sg,P2 Pl,-,Neg,rqaqtkomx
Perf,P1 Sg,P3 Pl,-,Pos,rqaqthom
Perf,P1 Sg,P3 Pl,-,Neg,rqaqthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,rqaqtlek
Perf,P1 Sg,-,P2 Sg,Neg,rqaqtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,rqaqtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,rqaqtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,rqaqtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,rqaqtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,rqaqtilkom
Perf,P1 Sg,-,P2 Pl,Neg,rqaqtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,rqaqtilhom
Perf,P1 Sg,-,P3 Pl,Neg,rqaqtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,rqaqthulek
