aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,sibt
Perf,P1 Sg,-,-,Neg,sibtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,sibtek
Perf,P1 Sg,P2 Sg,-,Neg,sibtekx
Perf,P1 Sg,P2 Pl,-,Pos,sibtkom
Perf,P1 Sg,P2 Pl,-,Neg,sibtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,sibtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,sibtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,sibtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,sibthiex
Perf,P1 Sg,P3 Pl,-,Pos,sibthom
Perf,P1 Sg,P3 Pl,-,Neg,sibthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,sibtlek
Perf,P1 Sg,-,P2 Sg,Neg,sibtlekx
Perf,P1 Sg,-,P2 Pl,Pos,sibtilkom
Perf,P1 Sg,-,P2 Pl,Neg,sibtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,sibtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,sibtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,sibtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,sibtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,sibtilhom
Perf,P1 Sg,-,P3 Pl,Neg,sibtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,sibthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,sibthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,sibthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,sibthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,sibthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,sibthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,sibthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,sibthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,sibthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,sibthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,sibthielek
