aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,servejt
Perf,P1 Sg,-,-,Neg,servejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,servejtek
Perf,P1 Sg,P2 Sg,-,Neg,servejtekx
Perf,P1 Sg,P2 Pl,-,Pos,servejtkom
Perf,P1 Sg,P2 Pl,-,Neg,servejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,servejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,servejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,servejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,servejthiex
Perf,P1 Sg,P3 Pl,-,Pos,servejthom
Perf,P1 Sg,P3 Pl,-,Neg,servejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,servejtlek
Perf,P1 Sg,-,P2 Sg,Neg,servejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,servejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,servejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,servejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,servejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,servejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,servejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,servejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,servejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,servejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,servejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,servejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,servejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,servejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,servejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,servejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,servejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,servejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,servejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,servejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,servejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,servejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,servejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,servejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,servejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,servejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,servejthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,servejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,servejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,servejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,servejthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,servejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,servejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,servejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,servejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,servejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,servejthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,servejthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,servejthomlhomx
Perf,P1 Pl,-,-,Pos,servejna
Perf,P1 Pl,-,-,Neg,servejniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,servejniek
Perf,P1 Pl,P2 Sg,-,Neg,servejnikx
Perf,P1 Pl,P2 Pl,-,Pos,servejniekom
Perf,P1 Pl,P2 Pl,-,Neg,servejnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,servejnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,servejnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,servejnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,servejnihiex
Perf,P1 Pl,P3 Pl,-,Pos,servejniehom
Perf,P1 Pl,P3 Pl,-,Neg,servejnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,servejnielek
Perf,P1 Pl,-,P2 Sg,Neg,servejnilekx
Perf,P1 Pl,-,P2 Pl,Pos,servejnielkom
Perf,P1 Pl,-,P2 Pl,Neg,servejnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,servejnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,servejnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,servejnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,servejnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,servejnielhom
Perf,P1 Pl,-,P3 Pl,Neg,servejnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,servejnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,servejnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,servejnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,servejnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,servejnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,servejnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,servejnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,servejnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,servejnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,servejnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,servejnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,servejnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,servejnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,servejnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,servejnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,servejnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,servejnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,servejnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,servejnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,servejnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,servejnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,servejnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,servejnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,servejnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,servejnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,servejnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,servejnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,servejnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,servejnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,servejnihomlhomx
Perf,P2 Sg,-,-,Pos,servejt
Perf,P2 Sg,-,-,Neg,servejtx
Perf,P2 Sg,P1 Sg,-,Pos,servejtni
Perf,P2 Sg,P1 Sg,-,Neg,servejtnix
Perf,P2 Sg,P1 Pl,-,Pos,servejtna
Perf,P2 Sg,P1 Pl,-,Neg,servejtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,servejtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,servejtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,servejtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,servejthiex
Perf,P2 Sg,P3 Pl,-,Pos,servejthom
Perf,P2 Sg,P3 Pl,-,Neg,servejthomx
Perf,P2 Sg,-,P1 Sg,Pos,servejtli
Perf,P2 Sg,-,P1 Sg,Neg,servejtlix
Perf,P2 Sg,-,P1 Pl,Pos,servejtilna
Perf,P2 Sg,-,P1 Pl,Neg,servejtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,servejtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,servejtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,servejtilha
