Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ssellift
Perf,P1 Sg,-,-,Neg,sselliftx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,sselliftek
Perf,P1 Sg,P2 Sg,-,Neg,sselliftekx
Perf,P1 Sg,P2 Pl,-,Pos,sselliftkom
Perf,P1 Sg,P2 Pl,-,Neg,sselliftkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,sselliftu
Perf,P1 Sg,P3 Sg Masc,-,Neg,sselliftux
Perf,P1 Sg,P3 Sg Fem,-,Pos,sselliftha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ssellifthiex
Perf,P1 Sg,P3 Pl,-,Pos,ssellifthom
Perf,P1 Sg,P3 Pl,-,Neg,ssellifthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,sselliftlek
Perf,P1 Sg,-,P2 Sg,Neg,sselliftlekx
Perf,P1 Sg,-,P2 Pl,Pos,sselliftilkom
Perf,P1 Sg,-,P2 Pl,Neg,sselliftilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,sselliftlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,sselliftlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,sselliftilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,sselliftilhiex
Perf,P1 Sg,-,P3 Pl,Pos,sselliftilhom
Perf,P1 Sg,-,P3 Pl,Neg,sselliftilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ssellifthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ssellifthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ssellifthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ssellifthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ssellifthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ssellifthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ssellifthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ssellifthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ssellifthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ssellifthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ssellifthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ssellifthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ssellifthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ssellifthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ssellifthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ssellifthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ssellifthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ssellifthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ssellifthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ssellifthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ssellifthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ssellifthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ssellifthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ssellifthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ssellifthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ssellifthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ssellifthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ssellifthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ssellifthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ssellifthomlhomx
Perf,P1 Pl,-,-,Pos,ssellifna
Perf,P1 Pl,-,-,Neg,ssellifniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ssellifniek
Perf,P1 Pl,P2 Sg,-,Neg,ssellifnikx
Perf,P1 Pl,P2 Pl,-,Pos,ssellifniekom
Perf,P1 Pl,P2 Pl,-,Neg,ssellifnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ssellifnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ssellifnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ssellifnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ssellifnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ssellifniehom
Perf,P1 Pl,P3 Pl,-,Neg,ssellifnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,ssellifnielek
Perf,P1 Pl,-,P2 Sg,Neg,ssellifnilekx
Perf,P1 Pl,-,P2 Pl,Pos,ssellifnielkom
Perf,P1 Pl,-,P2 Pl,Neg,ssellifnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,ssellifnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,ssellifnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,ssellifnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,ssellifnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,ssellifnielhom
Perf,P1 Pl,-,P3 Pl,Neg,ssellifnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,ssellifnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,ssellifnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,ssellifnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,ssellifnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,ssellifnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,ssellifnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,ssellifnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,ssellifnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,ssellifnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,ssellifnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,ssellifnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,ssellifnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,ssellifnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,ssellifnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,ssellifnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,ssellifnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,ssellifnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,ssellifnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,ssellifnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,ssellifnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,ssellifnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,ssellifnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,ssellifnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,ssellifnihomlkomx
