Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,sservejt
Perf,P1 Sg,-,-,Neg,sservejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,sservejtek
Perf,P1 Sg,P2 Sg,-,Neg,sservejtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,sservejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,sservejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,sservejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,sservejthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,sservejtkom
Perf,P1 Sg,P2 Pl,-,Neg,sservejtkomx
Perf,P1 Sg,P3 Pl,-,Pos,sservejthom
Perf,P1 Sg,P3 Pl,-,Neg,sservejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,sservejtlek
Perf,P1 Sg,-,P2 Sg,Neg,sservejtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,sservejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,sservejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,sservejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,sservejtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,sservejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,sservejtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,sservejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,sservejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,sservejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,sservejthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,sservejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,sservejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,sservejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,sservejthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,sservejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,sservejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,sservejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,sservejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,sservejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,sservejthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,sservejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,sservejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,sservejthielha
