aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,stagħġibt
Perf,P1 Sg,-,-,Neg,stagħġibtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,stagħġibtek
Perf,P1 Sg,P2 Sg,-,Neg,stagħġibtekx
Perf,P1 Sg,P2 Pl,-,Pos,stagħġibtkom
Perf,P1 Sg,P2 Pl,-,Neg,stagħġibtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,stagħġibtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,stagħġibtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,stagħġibtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,stagħġibthiex
Perf,P1 Sg,P3 Pl,-,Pos,stagħġibthom
Perf,P1 Sg,P3 Pl,-,Neg,stagħġibthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,stagħġibtlek
Perf,P1 Sg,-,P2 Sg,Neg,stagħġibtlekx
Perf,P1 Sg,-,P2 Pl,Pos,stagħġibtilkom
Perf,P1 Sg,-,P2 Pl,Neg,stagħġibtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,stagħġibtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,stagħġibtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,stagħġibtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,stagħġibtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,stagħġibtilhom
Perf,P1 Sg,-,P3 Pl,Neg,stagħġibtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,stagħġibthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,stagħġibthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,stagħġibthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,stagħġibthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,stagħġibthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,stagħġibthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,stagħġibthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,stagħġibthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,stagħġibthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,stagħġibthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,stagħġibthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,stagħġibthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,stagħġibthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,stagħġibthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,stagħġibthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,stagħġibthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,stagħġibthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,stagħġibthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,stagħġibthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,stagħġibthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,stagħġibthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,stagħġibthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,stagħġibthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,stagħġibthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,stagħġibthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,stagħġibthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,stagħġibthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,stagħġibthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,stagħġibthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,stagħġibthomlhomx
Perf,P1 Pl,-,-,Pos,stagħġibna
Perf,P1 Pl,-,-,Neg,stagħġibniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,stagħġibniek
Perf,P1 Pl,P2 Sg,-,Neg,stagħġibnikx
Perf,P1 Pl,P2 Pl,-,Pos,stagħġibniekom
Perf,P1 Pl,P2 Pl,-,Neg,stagħġibnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,stagħġibnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,stagħġibnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,stagħġibnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,stagħġibnihiex
Perf,P1 Pl,P3 Pl,-,Pos,stagħġibniehom
Perf,P1 Pl,P3 Pl,-,Neg,stagħġibnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,stagħġibnielek
Perf,P1 Pl,-,P2 Sg,Neg,stagħġibnilekx
Perf,P1 Pl,-,P2 Pl,Pos,stagħġibnielkom
Perf,P1 Pl,-,P2 Pl,Neg,stagħġibnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,stagħġibnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,stagħġibnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,stagħġibnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,stagħġibnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,stagħġibnielhom
Perf,P1 Pl,-,P3 Pl,Neg,stagħġibnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,stagħġibnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,stagħġibnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,stagħġibnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,stagħġibnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,stagħġibnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,stagħġibnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,stagħġibnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,stagħġibnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,stagħġibnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,stagħġibnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,stagħġibnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,stagħġibnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,stagħġibnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,stagħġibnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,stagħġibnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,stagħġibnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,stagħġibnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,stagħġibnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,stagħġibnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,stagħġibnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,stagħġibnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,stagħġibnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,stagħġibnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,stagħġibnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,stagħġibnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,stagħġibnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,stagħġibnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,stagħġibnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,stagħġibnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,stagħġibnihomlhomx
Perf,P2 Sg,-,-,Pos,stagħġibt
Perf,P2 Sg,-,-,Neg,stagħġibtx
Perf,P2 Sg,P1 Sg,-,Pos,stagħġibtni
Perf,P2 Sg,P1 Sg,-,Neg,stagħġibtnix
Perf,P2 Sg,P1 Pl,-,Pos,stagħġibtna
Perf,P2 Sg,P1 Pl,-,Neg,stagħġibtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,stagħġibtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,stagħġibtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,stagħġibtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,stagħġibthiex
Perf,P2 Sg,P3 Pl,-,Pos,stagħġibthom
Perf,P2 Sg,P3 Pl,-,Neg,stagħġibthomx
Perf,P2 Sg,-,P1 Sg,Pos,stagħġibtli
Perf,P2 Sg,-,P1 Sg,Neg,stagħġibtlix
Perf,P2 Sg,-,P1 Pl,Pos,stagħġibtilna
Perf,P2 Sg,-,P1 Pl,Neg,stagħġibtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,stagħġibtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,stagħġibtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,stagħġibtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,stagħġibtilhiex
Perf,P2 Sg,-,P3 Pl,Pos,stagħġibtilhom
Perf,P2 Sg,-,P3 Pl,Neg,stagħġibtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,stagħġibthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,stagħġibthulix
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,stagħġibthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,stagħġibthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
