aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,staħbejt
Perf,P1 Sg,-,-,Neg,staħbejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,staħbejtek
Perf,P1 Sg,P2 Sg,-,Neg,staħbejtekx
Perf,P1 Sg,P2 Pl,-,Pos,staħbejtkom
Perf,P1 Sg,P2 Pl,-,Neg,staħbejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,staħbejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,staħbejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,staħbejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,staħbejthiex
Perf,P1 Sg,P3 Pl,-,Pos,staħbejthom
Perf,P1 Sg,P3 Pl,-,Neg,staħbejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,staħbejtlek
Perf,P1 Sg,-,P2 Sg,Neg,staħbejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,staħbejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,staħbejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,staħbejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,staħbejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,staħbejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,staħbejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,staħbejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,staħbejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,staħbejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,staħbejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,staħbejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,staħbejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,staħbejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,staħbejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,staħbejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,staħbejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,staħbejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,staħbejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,staħbejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,staħbejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,staħbejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,staħbejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,staħbejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,staħbejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,staħbejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,staħbejthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,staħbejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,staħbejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,staħbejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,staħbejthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,staħbejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,staħbejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,staħbejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,staħbejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,staħbejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,staħbejthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,staħbejthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,staħbejthomlhomx
Perf,P1 Pl,-,-,Pos,staħbejna
Perf,P1 Pl,-,-,Neg,staħbejniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,staħbejniek
Perf,P1 Pl,P2 Sg,-,Neg,staħbejnikx
Perf,P1 Pl,P2 Pl,-,Pos,staħbejniekom
Perf,P1 Pl,P2 Pl,-,Neg,staħbejnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,staħbejnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,staħbejnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,staħbejnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,staħbejnihiex
Perf,P1 Pl,P3 Pl,-,Pos,staħbejniehom
Perf,P1 Pl,P3 Pl,-,Neg,staħbejnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,staħbejnielek
Perf,P1 Pl,-,P2 Sg,Neg,staħbejnilekx
Perf,P1 Pl,-,P2 Pl,Pos,staħbejnielkom
Perf,P1 Pl,-,P2 Pl,Neg,staħbejnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,staħbejnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,staħbejnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,staħbejnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,staħbejnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,staħbejnielhom
Perf,P1 Pl,-,P3 Pl,Neg,staħbejnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,staħbejnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,staħbejnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,staħbejnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,staħbejnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,staħbejnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,staħbejnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,staħbejnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,staħbejnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,staħbejnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,staħbejnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,staħbejnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,staħbejnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,staħbejnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,staħbejnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,staħbejnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,staħbejnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,staħbejnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,staħbejnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,staħbejnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,staħbejnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,staħbejnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,staħbejnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,staħbejnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,staħbejnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,staħbejnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,staħbejnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,staħbejnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,staħbejnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,staħbejnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,staħbejnihomlhomx
Perf,P2 Sg,-,-,Pos,staħbejt
Perf,P2 Sg,-,-,Neg,staħbejtx
