aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,stqarrejt
Perf,P1 Sg,-,-,Neg,stqarrejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,stqarrejtek
Perf,P1 Sg,P2 Sg,-,Neg,stqarrejtekx
Perf,P1 Sg,P2 Pl,-,Pos,stqarrejtkom
Perf,P1 Sg,P2 Pl,-,Neg,stqarrejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,stqarrejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,stqarrejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,stqarrejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,stqarrejthiex
Perf,P1 Sg,P3 Pl,-,Pos,stqarrejthom
Perf,P1 Sg,P3 Pl,-,Neg,stqarrejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,stqarrejtlek
Perf,P1 Sg,-,P2 Sg,Neg,stqarrejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,stqarrejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,stqarrejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,stqarrejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,stqarrejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,stqarrejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,stqarrejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,stqarrejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,stqarrejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,stqarrejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,stqarrejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,stqarrejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,stqarrejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,stqarrejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,stqarrejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,stqarrejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,stqarrejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,stqarrejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,stqarrejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,stqarrejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,stqarrejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,stqarrejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,stqarrejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,stqarrejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,stqarrejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,stqarrejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,stqarrejthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,stqarrejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,stqarrejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,stqarrejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,stqarrejthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,stqarrejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,stqarrejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,stqarrejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,stqarrejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,stqarrejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,stqarrejthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,stqarrejthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,stqarrejthomlhomx
Perf,P1 Pl,-,-,Pos,stqarrejna
Perf,P1 Pl,-,-,Neg,stqarrejniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,stqarrejniek
Perf,P1 Pl,P2 Sg,-,Neg,stqarrejnikx
Perf,P1 Pl,P2 Pl,-,Pos,stqarrejniekom
Perf,P1 Pl,P2 Pl,-,Neg,stqarrejnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,stqarrejnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,stqarrejnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,stqarrejnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,stqarrejnihiex
Perf,P1 Pl,P3 Pl,-,Pos,stqarrejniehom
Perf,P1 Pl,P3 Pl,-,Neg,stqarrejnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,stqarrejnielek
Perf,P1 Pl,-,P2 Sg,Neg,stqarrejnilekx
Perf,P1 Pl,-,P2 Pl,Pos,stqarrejnielkom
Perf,P1 Pl,-,P2 Pl,Neg,stqarrejnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,stqarrejnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,stqarrejnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,stqarrejnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,stqarrejnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,stqarrejnielhom
Perf,P1 Pl,-,P3 Pl,Neg,stqarrejnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,stqarrejnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,stqarrejnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,stqarrejnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,stqarrejnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,stqarrejnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,stqarrejnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,stqarrejnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,stqarrejnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,stqarrejnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,stqarrejnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,stqarrejnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,stqarrejnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,stqarrejnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,stqarrejnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,stqarrejnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,stqarrejnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,stqarrejnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,stqarrejnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,stqarrejnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,stqarrejnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,stqarrejnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,stqarrejnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,stqarrejnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,stqarrejnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,stqarrejnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,stqarrejnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,stqarrejnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,stqarrejnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,stqarrejnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,stqarrejnihomlhomx
Perf,P2 Sg,-,-,Pos,stqarrejt
Perf,P2 Sg,-,-,Neg,stqarrejtx
Perf,P2 Sg,P1 Sg,-,Pos,stqarrejtni
Perf,P2 Sg,P1 Sg,-,Neg,stqarrejtnix
Perf,P2 Sg,P1 Pl,-,Pos,stqarrejtna
Perf,P2 Sg,P1 Pl,-,Neg,stqarrejtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,stqarrejtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,stqarrejtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,stqarrejtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,stqarrejthiex
Perf,P2 Sg,P3 Pl,-,Pos,stqarrejthom
Perf,P2 Sg,P3 Pl,-,Neg,stqarrejthomx
Perf,P2 Sg,-,P1 Sg,Pos,stqarrejtli
Perf,P2 Sg,-,P1 Sg,Neg,stqarrejtlix
Perf,P2 Sg,-,P1 Pl,Pos,stqarrejtilna
Perf,P2 Sg,-,P1 Pl,Neg,stqarrejtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,stqarrejtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,stqarrejtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,stqarrejtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,stqarrejtilhiex
Perf,P2 Sg,-,P3 Pl,Pos,stqarrejtilhom
Perf,P2 Sg,-,P3 Pl,Neg,stqarrejtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,stqarrejthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,stqarrejthulix
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,stqarrejthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,stqarrejthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,stqarrejthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,stqarrejthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,stqarrejthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,stqarrejthulhiex
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,stqarrejthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,stqarrejthulhomx
