aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,striħajt
Perf,P1 Sg,-,-,Neg,striħajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,striħajtek
Perf,P1 Sg,P2 Sg,-,Neg,striħajtekx
Perf,P1 Sg,P2 Pl,-,Pos,striħajtkom
Perf,P1 Sg,P2 Pl,-,Neg,striħajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,striħajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,striħajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,striħajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,striħajthiex
Perf,P1 Sg,P3 Pl,-,Pos,striħajthom
Perf,P1 Sg,P3 Pl,-,Neg,striħajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,striħajtlek
Perf,P1 Sg,-,P2 Sg,Neg,striħajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,striħajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,striħajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,striħajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,striħajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,striħajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,striħajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,striħajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,striħajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,striħajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,striħajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,striħajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,striħajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,striħajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,striħajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,striħajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,striħajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,striħajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,striħajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,striħajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,striħajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,striħajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,striħajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,striħajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,striħajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,striħajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,striħajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,striħajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,striħajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,striħajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,striħajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,striħajthomlkom
