Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,stħarriġt
Perf,P1 Sg,-,-,Neg,stħarriġtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,stħarriġtek
Perf,P1 Sg,P2 Sg,-,Neg,stħarriġtekx
Perf,P1 Sg,P2 Pl,-,Pos,stħarriġtkom
Perf,P1 Sg,P2 Pl,-,Neg,stħarriġtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,stħarriġtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,stħarriġtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,stħarriġtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,stħarriġthiex
Perf,P1 Sg,P3 Pl,-,Pos,stħarriġthom
Perf,P1 Sg,P3 Pl,-,Neg,stħarriġthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,stħarriġtlek
Perf,P1 Sg,-,P2 Sg,Neg,stħarriġtlekx
Perf,P1 Sg,-,P2 Pl,Pos,stħarriġtilkom
Perf,P1 Sg,-,P2 Pl,Neg,stħarriġtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,stħarriġtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,stħarriġtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,stħarriġtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,stħarriġtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,stħarriġtilhom
Perf,P1 Sg,-,P3 Pl,Neg,stħarriġtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,stħarriġthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,stħarriġthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,stħarriġthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,stħarriġthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,stħarriġthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,stħarriġthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,stħarriġthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,stħarriġthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,stħarriġthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,stħarriġthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,stħarriġthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,stħarriġthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,stħarriġthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,stħarriġthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,stħarriġthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,stħarriġthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,stħarriġthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,stħarriġthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,stħarriġthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,stħarriġthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,stħarriġthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,stħarriġthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,stħarriġthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,stħarriġthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,stħarriġthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,stħarriġthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,stħarriġthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,stħarriġthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,stħarriġthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,stħarriġthomlhomx
Perf,P1 Pl,-,-,Pos,stħarriġna
Perf,P1 Pl,-,-,Neg,stħarriġniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,stħarriġniek
Perf,P1 Pl,P2 Sg,-,Neg,stħarriġnikx
Perf,P1 Pl,P2 Pl,-,Pos,stħarriġniekom
Perf,P1 Pl,P2 Pl,-,Neg,stħarriġnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,stħarriġnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,stħarriġnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,stħarriġnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,stħarriġnihiex
Perf,P1 Pl,P3 Pl,-,Pos,stħarriġniehom
Perf,P1 Pl,P3 Pl,-,Neg,stħarriġnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,stħarriġnielek
Perf,P1 Pl,-,P2 Sg,Neg,stħarriġnilekx
Perf,P1 Pl,-,P2 Pl,Pos,stħarriġnielkom
Perf,P1 Pl,-,P2 Pl,Neg,stħarriġnilkomx
