Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,tkantajt
Perf,P1 Sg,-,-,Neg,tkantajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,tkantajtek
Perf,P1 Sg,P2 Sg,-,Neg,tkantajtekx
Perf,P1 Sg,P2 Pl,-,Pos,tkantajtkom
Perf,P1 Sg,P2 Pl,-,Neg,tkantajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,tkantajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,tkantajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,tkantajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,tkantajthiex
Perf,P1 Sg,P3 Pl,-,Pos,tkantajthom
Perf,P1 Sg,P3 Pl,-,Neg,tkantajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,tkantajtlek
Perf,P1 Sg,-,P2 Sg,Neg,tkantajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,tkantajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,tkantajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,tkantajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,tkantajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,tkantajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,tkantajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,tkantajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,tkantajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,tkantajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,tkantajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,tkantajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,tkantajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tkantajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tkantajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tkantajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tkantajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,tkantajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,tkantajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,tkantajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,tkantajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,tkantajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,tkantajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,tkantajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,tkantajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,tkantajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,tkantajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,tkantajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,tkantajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,tkantajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,tkantajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,tkantajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,tkantajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,tkantajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,tkantajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,tkantajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,tkantajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,tkantajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,tkantajthomlhomx
Perf,P1 Pl,-,-,Pos,tkantajna
Perf,P1 Pl,-,-,Neg,tkantajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,tkantajniek
Perf,P1 Pl,P2 Sg,-,Neg,tkantajnikx
Perf,P1 Pl,P2 Pl,-,Pos,tkantajniekom
Perf,P1 Pl,P2 Pl,-,Neg,tkantajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,tkantajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,tkantajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,tkantajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,tkantajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,tkantajniehom
Perf,P1 Pl,P3 Pl,-,Neg,tkantajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,tkantajnielek
Perf,P1 Pl,-,P2 Sg,Neg,tkantajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,tkantajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,tkantajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,tkantajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,tkantajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,tkantajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,tkantajnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,tkantajnielhom
