Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,tniżżilt
Perf,P1 Sg,-,-,Neg,tniżżiltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,tniżżiltek
Perf,P1 Sg,P2 Sg,-,Neg,tniżżiltekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,tniżżiltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,tniżżiltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,tniżżiltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,tniżżilthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,tniżżiltkom
Perf,P1 Sg,P2 Pl,-,Neg,tniżżiltkomx
Perf,P1 Sg,P3 Pl,-,Pos,tniżżilthom
Perf,P1 Sg,P3 Pl,-,Neg,tniżżilthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,tniżżiltlek
Perf,P1 Sg,-,P2 Sg,Neg,tniżżiltlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,tniżżiltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,tniżżiltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,tniżżiltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,tniżżiltilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,tniżżiltilkom
Perf,P1 Sg,-,P2 Pl,Neg,tniżżiltilkomx
Perf,P1 Sg,-,P3 Pl,Pos,tniżżiltilhom
Perf,P1 Sg,-,P3 Pl,Neg,tniżżiltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,tniżżilthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,tniżżilthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tniżżilthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tniżżilthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tniżżilthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tniżżilthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,tniżżilthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,tniżżilthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,tniżżilthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,tniżżilthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,tniżżilthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,tniżżilthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,tniżżilthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,tniżżilthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,tniżżilthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,tniżżilthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,tniżżilthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,tniżżilthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,tniżżilthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,tniżżilthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,tniżżilthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,tniżżilthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,tniżżilthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,tniżżilthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,tniżżilthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,tniżżilthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,tniżżilthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,tniżżilthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,tniżżilthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,tniżżilthomlhomx
Perf,P2 Sg,-,-,Pos,tniżżilt
Perf,P2 Sg,-,-,Neg,tniżżiltx
Perf,P2 Sg,P1 Sg,-,Pos,tniżżiltni
Perf,P2 Sg,P1 Sg,-,Neg,tniżżiltnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,tniżżiltu
Perf,P2 Sg,P3 Sg Masc,-,Neg,tniżżiltux
Perf,P2 Sg,P3 Sg Fem,-,Pos,tniżżiltha
Perf,P2 Sg,P3 Sg Fem,-,Neg,tniżżilthiex
Perf,P2 Sg,P1 Pl,-,Pos,tniżżiltna
Perf,P2 Sg,P1 Pl,-,Neg,tniżżiltniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,tniżżilthom
Perf,P2 Sg,P3 Pl,-,Neg,tniżżilthomx
Perf,P2 Sg,-,P1 Sg,Pos,tniżżiltli
Perf,P2 Sg,-,P1 Sg,Neg,tniżżiltlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,tniżżiltlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,tniżżiltlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,tniżżiltilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,tniżżiltilhiex
Perf,P2 Sg,-,P1 Pl,Pos,tniżżiltilna
Perf,P2 Sg,-,P1 Pl,Neg,tniżżiltilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,tniżżiltilhom
Perf,P2 Sg,-,P3 Pl,Neg,tniżżiltilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,tniżżilthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,tniżżilthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tniżżilthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tniżżilthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tniżżilthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tniżżilthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,tniżżilthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,tniżżilthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,tniżżilthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,tniżżilthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,tniżżilthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,tniżżilthilix
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,tniżżilthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,tniżżilthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,tniżżilthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,tniżżilthilhiex
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,tniżżilthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,tniżżilthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,tniżżilthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,tniżżilthilhomx
Perf,P2 Sg,P3 Pl,P1 Sg,Pos,tniżżilthomli
Perf,P2 Sg,P3 Pl,P1 Sg,Neg,tniżżilthomlix
Perf,P2 Sg,P3 Pl,P2 Sg,Pos,-
Perf,P2 Sg,P3 Pl,P2 Sg,Neg,-
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Pos,tniżżilthomlu
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Neg,tniżżilthomlux
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Pos,tniżżilthomlha
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Neg,tniżżilthomlhiex
Perf,P2 Sg,P3 Pl,P1 Pl,Pos,tniżżilthomlna
Perf,P2 Sg,P3 Pl,P1 Pl,Neg,tniżżilthomlniex
Perf,P2 Sg,P3 Pl,P2 Pl,Pos,-
Perf,P2 Sg,P3 Pl,P2 Pl,Neg,-
Perf,P2 Sg,P3 Pl,P3 Pl,Pos,tniżżilthomlhom
Perf,P2 Sg,P3 Pl,P3 Pl,Neg,tniżżilthomlhomx
Perf,P3 Sg Masc,-,-,Pos,tniżżel
Perf,P3 Sg Masc,-,-,Neg,tniżżilx
Perf,P3 Sg Masc,P1 Sg,-,Pos,tniżżilni
Perf,P3 Sg Masc,P1 Sg,-,Neg,tniżżilnix
Perf,P3 Sg Masc,P2 Sg,-,Pos,tniżżlek
Perf,P3 Sg Masc,P2 Sg,-,Neg,tniżżlekx
Perf,P3 Sg Masc,P3 Sg Masc,-,Pos,tniżżlu
Perf,P3 Sg Masc,P3 Sg Masc,-,Neg,tniżżlux
Perf,P3 Sg Masc,P3 Sg Fem,-,Pos,tniżżilha
Perf,P3 Sg Masc,P3 Sg Fem,-,Neg,tniżżilhiex
Perf,P3 Sg Masc,P1 Pl,-,Pos,tniżżilna
Perf,P3 Sg Masc,P1 Pl,-,Neg,tniżżilniex
Perf,P3 Sg Masc,P2 Pl,-,Pos,tniżżilkom
Perf,P3 Sg Masc,P2 Pl,-,Neg,tniżżilkomx
Perf,P3 Sg Masc,P3 Pl,-,Pos,tniżżilhom
Perf,P3 Sg Masc,P3 Pl,-,Neg,tniżżilhomx
Perf,P3 Sg Masc,-,P1 Sg,Pos,tniżżilli
Perf,P3 Sg Masc,-,P1 Sg,Neg,tniżżillix
Perf,P3 Sg Masc,-,P2 Sg,Pos,tniżżillek
Perf,P3 Sg Masc,-,P2 Sg,Neg,tniżżillekx
Perf,P3 Sg Masc,-,P3 Sg Masc,Pos,tniżżillu
Perf,P3 Sg Masc,-,P3 Sg Masc,Neg,tniżżillux
Perf,P3 Sg Masc,-,P3 Sg Fem,Pos,tniżżlilha
Perf,P3 Sg Masc,-,P3 Sg Fem,Neg,tniżżlilhiex
Perf,P3 Sg Masc,-,P1 Pl,Pos,tniżżlilna
Perf,P3 Sg Masc,-,P1 Pl,Neg,tniżżlilniex
Perf,P3 Sg Masc,-,P2 Pl,Pos,tniżżlilkom
Perf,P3 Sg Masc,-,P2 Pl,Neg,tniżżlilkomx
Perf,P3 Sg Masc,-,P3 Pl,Pos,tniżżlilhom
Perf,P3 Sg Masc,-,P3 Pl,Neg,tniżżlilhomx
Perf,P3 Sg Masc,P3 Sg Masc,P1 Sg,Pos,tniżżilhuli
Perf,P3 Sg Masc,P3 Sg Masc,P1 Sg,Neg,tniżżilhulix
Perf,P3 Sg Masc,P3 Sg Masc,P2 Sg,Pos,tniżżilhulek
Perf,P3 Sg Masc,P3 Sg Masc,P2 Sg,Neg,tniżżilhulekx
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Masc,Pos,tniżżilhulu
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Masc,Neg,tniżżilhulux
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Fem,Pos,tniżżilhulha
Perf,P3 Sg Masc,P3 Sg Masc,P3 Sg Fem,Neg,tniżżilhulhiex
Perf,P3 Sg Masc,P3 Sg Masc,P1 Pl,Pos,tniżżilhulna
Perf,P3 Sg Masc,P3 Sg Masc,P1 Pl,Neg,tniżżilhulniex
Perf,P3 Sg Masc,P3 Sg Masc,P2 Pl,Pos,tniżżilhulkom
Perf,P3 Sg Masc,P3 Sg Masc,P2 Pl,Neg,tniżżilhulkomx
Perf,P3 Sg Masc,P3 Sg Masc,P3 Pl,Pos,tniżżilhulhom
Perf,P3 Sg Masc,P3 Sg Masc,P3 Pl,Neg,tniżżilhulhomx
Perf,P3 Sg Masc,P3 Sg Fem,P1 Sg,Pos,tniżżilhieli
Perf,P3 Sg Masc,P3 Sg Fem,P1 Sg,Neg,tniżżilhilix
Perf,P3 Sg Masc,P3 Sg Fem,P2 Sg,Pos,tniżżilhielek
Perf,P3 Sg Masc,P3 Sg Fem,P2 Sg,Neg,tniżżilhilekx
Perf,P3 Sg Masc,P3 Sg Fem,P3 Sg Masc,Pos,tniżżilhielu
