Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,tqegħidt
Perf,P1 Sg,-,-,Neg,tqegħidtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,tqegħidtek
Perf,P1 Sg,P2 Sg,-,Neg,tqegħidtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,tqegħidtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,tqegħidtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,tqegħidtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,tqegħidthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,tqegħidtkom
Perf,P1 Sg,P2 Pl,-,Neg,tqegħidtkomx
Perf,P1 Sg,P3 Pl,-,Pos,tqegħidthom
Perf,P1 Sg,P3 Pl,-,Neg,tqegħidthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,tqegħidtlek
Perf,P1 Sg,-,P2 Sg,Neg,tqegħidtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,tqegħidtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,tqegħidtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,tqegħidtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,tqegħidtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,tqegħidtilkom
Perf,P1 Sg,-,P2 Pl,Neg,tqegħidtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,tqegħidtilhom
Perf,P1 Sg,-,P3 Pl,Neg,tqegħidtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,tqegħidthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,tqegħidthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tqegħidthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tqegħidthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tqegħidthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tqegħidthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,tqegħidthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,tqegħidthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,tqegħidthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,tqegħidthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,tqegħidthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,tqegħidthilekx
