aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,twalt
Perf,P1 Sg,-,-,Neg,twaltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,twaltek
Perf,P1 Sg,P2 Sg,-,Neg,twaltekx
Perf,P1 Sg,P2 Pl,-,Pos,twaltkom
Perf,P1 Sg,P2 Pl,-,Neg,twaltkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,twaltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,twaltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,twaltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,twalthiex
Perf,P1 Sg,P3 Pl,-,Pos,twalthom
Perf,P1 Sg,P3 Pl,-,Neg,twalthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,twaltlek
Perf,P1 Sg,-,P2 Sg,Neg,twaltlekx
Perf,P1 Sg,-,P2 Pl,Pos,twaltilkom
Perf,P1 Sg,-,P2 Pl,Neg,twaltilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,twaltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,twaltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,twaltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,twaltilhiex
Perf,P1 Sg,-,P3 Pl,Pos,twaltilhom
Perf,P1 Sg,-,P3 Pl,Neg,twaltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,twalthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,twalthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,twalthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,twalthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,twalthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,twalthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,twalthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,twalthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,twalthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,twalthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,twalthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,twalthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,twalthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,twalthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,twalthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,twalthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,twalthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,twalthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,twalthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,twalthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,twalthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,twalthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,twalthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,twalthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,twalthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,twalthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,twalthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,twalthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,twalthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,twalthomlhomx
Perf,P1 Pl,-,-,Pos,twalna
Perf,P1 Pl,-,-,Neg,twalniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,twalniek
Perf,P1 Pl,P2 Sg,-,Neg,twalnikx
Perf,P1 Pl,P2 Pl,-,Pos,twalniekom
Perf,P1 Pl,P2 Pl,-,Neg,twalnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,twalnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,twalnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,twalnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,twalnihiex
Perf,P1 Pl,P3 Pl,-,Pos,twalniehom
Perf,P1 Pl,P3 Pl,-,Neg,twalnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,twalnielek
Perf,P1 Pl,-,P2 Sg,Neg,twalnilekx
Perf,P1 Pl,-,P2 Pl,Pos,twalnielkom
Perf,P1 Pl,-,P2 Pl,Neg,twalnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,twalnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,twalnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,twalnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,twalnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,twalnielhom
Perf,P1 Pl,-,P3 Pl,Neg,twalnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,twalnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,twalnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,twalnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,twalnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,twalnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,twalnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,twalnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,twalnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,twalnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,twalnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,twalnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,twalnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,twalnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,twalnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,twalnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,twalnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,twalnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,twalnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,twalnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,twalnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,twalnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,twalnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,twalnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,twalnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,twalnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,twalnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,twalnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,twalnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,twalnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,twalnihomlhomx
Perf,P2 Sg,-,-,Pos,twalt
Perf,P2 Sg,-,-,Neg,twaltx
Perf,P2 Sg,P1 Sg,-,Pos,twaltni
