Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,twassalt
Perf,P1 Sg,-,-,Neg,twassaltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,twassaltek
Perf,P1 Sg,P2 Sg,-,Neg,twassaltekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,twassaltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,twassaltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,twassaltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,twassalthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,twassaltkom
Perf,P1 Sg,P2 Pl,-,Neg,twassaltkomx
Perf,P1 Sg,P3 Pl,-,Pos,twassalthom
Perf,P1 Sg,P3 Pl,-,Neg,twassalthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,twassaltlek
Perf,P1 Sg,-,P2 Sg,Neg,twassaltlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,twassaltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,twassaltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,twassaltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,twassaltilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,twassaltilkom
Perf,P1 Sg,-,P2 Pl,Neg,twassaltilkomx
Perf,P1 Sg,-,P3 Pl,Pos,twassaltilhom
Perf,P1 Sg,-,P3 Pl,Neg,twassaltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,twassalthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,twassalthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,twassalthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,twassalthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,twassalthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,twassalthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,twassalthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,twassalthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,twassalthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,twassalthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,twassalthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,twassalthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,twassalthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,twassalthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,twassalthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,twassalthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,twassalthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,twassalthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,twassalthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,twassalthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,twassalthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,twassalthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,twassalthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,twassalthomlux
