aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,tħarbatt
Perf,P1 Sg,-,-,Neg,tħarbattx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,tħarbattek
Perf,P1 Sg,P2 Sg,-,Neg,tħarbattekx
Perf,P1 Sg,P2 Pl,-,Pos,tħarbattkom
Perf,P1 Sg,P2 Pl,-,Neg,tħarbattkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,tħarbattu
Perf,P1 Sg,P3 Sg Masc,-,Neg,tħarbattux
Perf,P1 Sg,P3 Sg Fem,-,Pos,tħarbattha
Perf,P1 Sg,P3 Sg Fem,-,Neg,tħarbatthiex
Perf,P1 Sg,P3 Pl,-,Pos,tħarbatthom
Perf,P1 Sg,P3 Pl,-,Neg,tħarbatthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,tħarbattlek
Perf,P1 Sg,-,P2 Sg,Neg,tħarbattlekx
Perf,P1 Sg,-,P2 Pl,Pos,tħarbattilkom
Perf,P1 Sg,-,P2 Pl,Neg,tħarbattilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,tħarbattlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,tħarbattlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,tħarbattilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,tħarbattilhiex
Perf,P1 Sg,-,P3 Pl,Pos,tħarbattilhom
Perf,P1 Sg,-,P3 Pl,Neg,tħarbattilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,tħarbatthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,tħarbatthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,tħarbatthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,tħarbatthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tħarbatthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tħarbatthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tħarbatthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tħarbatthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,tħarbatthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,tħarbatthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,tħarbatthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,tħarbatthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,tħarbatthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,tħarbatthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,tħarbatthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,tħarbatthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,tħarbatthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,tħarbatthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,tħarbatthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,tħarbatthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,tħarbatthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,tħarbatthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,tħarbatthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,tħarbatthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,tħarbatthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,tħarbatthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,tħarbatthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,tħarbatthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,tħarbatthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,tħarbatthomlhomx
Perf,P1 Pl,-,-,Pos,tħarbatna
Perf,P1 Pl,-,-,Neg,tħarbatniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,tħarbatniek
Perf,P1 Pl,P2 Sg,-,Neg,tħarbatnikx
Perf,P1 Pl,P2 Pl,-,Pos,tħarbatniekom
Perf,P1 Pl,P2 Pl,-,Neg,tħarbatnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,tħarbatnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,tħarbatnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,tħarbatnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,tħarbatnihiex
Perf,P1 Pl,P3 Pl,-,Pos,tħarbatniehom
Perf,P1 Pl,P3 Pl,-,Neg,tħarbatnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,tħarbatnielek
Perf,P1 Pl,-,P2 Sg,Neg,tħarbatnilekx
Perf,P1 Pl,-,P2 Pl,Pos,tħarbatnielkom
Perf,P1 Pl,-,P2 Pl,Neg,tħarbatnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,tħarbatnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,tħarbatnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,tħarbatnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,tħarbatnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,tħarbatnielhom
Perf,P1 Pl,-,P3 Pl,Neg,tħarbatnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,tħarbatnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,tħarbatnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,tħarbatnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,tħarbatnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,tħarbatnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,tħarbatnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,tħarbatnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,tħarbatnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,tħarbatnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,tħarbatnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,tħarbatnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,tħarbatnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,tħarbatnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,tħarbatnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,tħarbatnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,tħarbatnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,tħarbatnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,tħarbatnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,tħarbatnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,tħarbatnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,tħarbatnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,tħarbatnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,tħarbatnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,tħarbatnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,tħarbatnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,tħarbatnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,tħarbatnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,tħarbatnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,tħarbatnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,tħarbatnihomlhomx
Perf,P2 Sg,-,-,Pos,tħarbatt
Perf,P2 Sg,-,-,Neg,tħarbattx
Perf,P2 Sg,P1 Sg,-,Pos,tħarbattni
Perf,P2 Sg,P1 Sg,-,Neg,tħarbattnix
Perf,P2 Sg,P1 Pl,-,Pos,tħarbattna
Perf,P2 Sg,P1 Pl,-,Neg,tħarbattniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,tħarbattu
Perf,P2 Sg,P3 Sg Masc,-,Neg,tħarbattux
Perf,P2 Sg,P3 Sg Fem,-,Pos,tħarbattha
Perf,P2 Sg,P3 Sg Fem,-,Neg,tħarbatthiex
Perf,P2 Sg,P3 Pl,-,Pos,tħarbatthom
Perf,P2 Sg,P3 Pl,-,Neg,tħarbatthomx
Perf,P2 Sg,-,P1 Sg,Pos,tħarbattli
Perf,P2 Sg,-,P1 Sg,Neg,tħarbattlix
Perf,P2 Sg,-,P1 Pl,Pos,tħarbattilna
Perf,P2 Sg,-,P1 Pl,Neg,tħarbattilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,tħarbattlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,tħarbattlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,tħarbattilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,tħarbattilhiex
Perf,P2 Sg,-,P3 Pl,Pos,tħarbattilhom
Perf,P2 Sg,-,P3 Pl,Neg,tħarbattilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,tħarbatthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,tħarbatthulix
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,tħarbatthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,tħarbatthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,tħarbatthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,tħarbatthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,tħarbatthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,tħarbatthulhiex
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,tħarbatthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,tħarbatthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,tħarbatthieli
