aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,waqaft
Perf,P1 Sg,-,-,Neg,waqaftx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,waqaftek
Perf,P1 Sg,P2 Sg,-,Neg,waqaftekx
Perf,P1 Sg,P2 Pl,-,Pos,waqaftkom
Perf,P1 Sg,P2 Pl,-,Neg,waqaftkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,waqaftu
Perf,P1 Sg,P3 Sg Masc,-,Neg,waqaftux
Perf,P1 Sg,P3 Sg Fem,-,Pos,waqaftha
Perf,P1 Sg,P3 Sg Fem,-,Neg,waqafthiex
Perf,P1 Sg,P3 Pl,-,Pos,waqafthom
Perf,P1 Sg,P3 Pl,-,Neg,waqafthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,waqaftlek
Perf,P1 Sg,-,P2 Sg,Neg,waqaftlekx
Perf,P1 Sg,-,P2 Pl,Pos,waqaftilkom
Perf,P1 Sg,-,P2 Pl,Neg,waqaftilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,waqaftlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,waqaftlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,waqaftilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,waqaftilhiex
Perf,P1 Sg,-,P3 Pl,Pos,waqaftilhom
Perf,P1 Sg,-,P3 Pl,Neg,waqaftilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,waqafthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,waqafthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,waqafthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,waqafthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,waqafthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,waqafthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,waqafthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,waqafthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,waqafthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,waqafthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,waqafthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,waqafthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,waqafthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,waqafthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,waqafthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,waqafthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,waqafthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,waqafthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,waqafthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,waqafthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,waqafthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,waqafthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,waqafthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,waqafthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,waqafthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,waqafthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,waqafthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,waqafthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,waqafthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,waqafthomlhomx
Perf,P1 Pl,-,-,Pos,waqafna
Perf,P1 Pl,-,-,Neg,waqafniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,waqafniek
Perf,P1 Pl,P2 Sg,-,Neg,waqafnikx
Perf,P1 Pl,P2 Pl,-,Pos,waqafniekom
Perf,P1 Pl,P2 Pl,-,Neg,waqafnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,waqafnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,waqafnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,waqafnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,waqafnihiex
Perf,P1 Pl,P3 Pl,-,Pos,waqafniehom
Perf,P1 Pl,P3 Pl,-,Neg,waqafnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
