Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,waqqaft
Perf,P1 Sg,-,-,Neg,waqqaftx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,waqqaftek
Perf,P1 Sg,P2 Sg,-,Neg,waqqaftekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,waqqaftu
Perf,P1 Sg,P3 Sg Masc,-,Neg,waqqaftux
Perf,P1 Sg,P3 Sg Fem,-,Pos,waqqaftha
Perf,P1 Sg,P3 Sg Fem,-,Neg,waqqafthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,waqqaftkom
Perf,P1 Sg,P2 Pl,-,Neg,waqqaftkomx
Perf,P1 Sg,P3 Pl,-,Pos,waqqafthom
Perf,P1 Sg,P3 Pl,-,Neg,waqqafthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,waqqaftlek
Perf,P1 Sg,-,P2 Sg,Neg,waqqaftlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,waqqaftlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,waqqaftlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,waqqaftilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,waqqaftilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,waqqaftilkom
Perf,P1 Sg,-,P2 Pl,Neg,waqqaftilkomx
Perf,P1 Sg,-,P3 Pl,Pos,waqqaftilhom
Perf,P1 Sg,-,P3 Pl,Neg,waqqaftilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,waqqafthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,waqqafthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,waqqafthulu
