Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,wasalt
Perf,P1 Sg,-,-,Neg,wasaltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,wasaltek
Perf,P1 Sg,P2 Sg,-,Neg,wasaltekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,wasaltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,wasaltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,wasaltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,wasalthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,wasaltkom
Perf,P1 Sg,P2 Pl,-,Neg,wasaltkomx
Perf,P1 Sg,P3 Pl,-,Pos,wasalthom
Perf,P1 Sg,P3 Pl,-,Neg,wasalthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,wasaltlek
Perf,P1 Sg,-,P2 Sg,Neg,wasaltlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,wasaltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,wasaltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,wasaltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,wasaltilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,wasaltilkom
Perf,P1 Sg,-,P2 Pl,Neg,wasaltilkomx
Perf,P1 Sg,-,P3 Pl,Pos,wasaltilhom
Perf,P1 Sg,-,P3 Pl,Neg,wasaltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,wasalthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,wasalthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,wasalthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,wasalthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,wasalthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,wasalthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,wasalthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,wasalthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,wasalthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,wasalthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,wasalthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,wasalthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,wasalthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,wasalthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,wasalthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,wasalthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,wasalthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,wasalthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,wasalthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,wasalthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,wasalthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,wasalthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,wasalthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,wasalthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,wasalthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,wasalthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,wasalthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,wasalthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,wasalthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,wasalthomlhomx
Perf,P2 Sg,-,-,Pos,wasalt
Perf,P2 Sg,-,-,Neg,wasaltx
Perf,P2 Sg,P1 Sg,-,Pos,wasaltni
Perf,P2 Sg,P1 Sg,-,Neg,wasaltnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,wasaltu
Perf,P2 Sg,P3 Sg Masc,-,Neg,wasaltux
Perf,P2 Sg,P3 Sg Fem,-,Pos,wasaltha
Perf,P2 Sg,P3 Sg Fem,-,Neg,wasalthiex
Perf,P2 Sg,P1 Pl,-,Pos,wasaltna
Perf,P2 Sg,P1 Pl,-,Neg,wasaltniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,wasalthom
Perf,P2 Sg,P3 Pl,-,Neg,wasalthomx
Perf,P2 Sg,-,P1 Sg,Pos,wasaltli
Perf,P2 Sg,-,P1 Sg,Neg,wasaltlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,wasaltlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,wasaltlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,wasaltilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,wasaltilhiex
Perf,P2 Sg,-,P1 Pl,Pos,wasaltilna
Perf,P2 Sg,-,P1 Pl,Neg,wasaltilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,wasaltilhom
Perf,P2 Sg,-,P3 Pl,Neg,wasaltilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,wasalthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,wasalthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,wasalthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,wasalthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,wasalthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,wasalthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,wasalthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,wasalthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,wasalthulhom
