Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,weġibt
Perf,P1 Sg,-,-,Neg,weġibtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,weġibtek
Perf,P1 Sg,P2 Sg,-,Neg,weġibtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,weġibtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,weġibtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,weġibtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,weġibthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,weġibtkom
Perf,P1 Sg,P2 Pl,-,Neg,weġibtkomx
Perf,P1 Sg,P3 Pl,-,Pos,weġibthom
Perf,P1 Sg,P3 Pl,-,Neg,weġibthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,weġibtlek
Perf,P1 Sg,-,P2 Sg,Neg,weġibtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,weġibtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,weġibtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,weġibtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,weġibtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,weġibtilkom
Perf,P1 Sg,-,P2 Pl,Neg,weġibtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,weġibtilhom
Perf,P1 Sg,-,P3 Pl,Neg,weġibtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,weġibthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,weġibthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,weġibthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,weġibthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,weġibthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,weġibthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,weġibthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,weġibthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,weġibthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,weġibthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,weġibthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,weġibthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,weġibthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,weġibthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,weġibthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,weġibthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,weġibthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,weġibthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,weġibthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,weġibthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,weġibthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,weġibthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,weġibthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,weġibthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,weġibthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,weġibthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,weġibthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,weġibthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,weġibthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,weġibthomlhomx
Perf,P2 Sg,-,-,Pos,weġibt
Perf,P2 Sg,-,-,Neg,weġibtx
Perf,P2 Sg,P1 Sg,-,Pos,weġibtni
Perf,P2 Sg,P1 Sg,-,Neg,weġibtnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,weġibtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,weġibtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,weġibtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,weġibthiex
Perf,P2 Sg,P1 Pl,-,Pos,weġibtna
Perf,P2 Sg,P1 Pl,-,Neg,weġibtniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,weġibthom
Perf,P2 Sg,P3 Pl,-,Neg,weġibthomx
Perf,P2 Sg,-,P1 Sg,Pos,weġibtli
Perf,P2 Sg,-,P1 Sg,Neg,weġibtlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,weġibtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,weġibtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,weġibtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,weġibtilhiex
Perf,P2 Sg,-,P1 Pl,Pos,weġibtilna
Perf,P2 Sg,-,P1 Pl,Neg,weġibtilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,weġibtilhom
Perf,P2 Sg,-,P3 Pl,Neg,weġibtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,weġibthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,weġibthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,weġibthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,weġibthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,weġibthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,weġibthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,weġibthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,weġibthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,weġibthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,weġibthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,weġibthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,weġibthilix
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,weġibthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,weġibthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,weġibthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,weġibthilhiex
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,weġibthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,weġibthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,weġibthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,weġibthilhomx
Perf,P2 Sg,P3 Pl,P1 Sg,Pos,weġibthomli
Perf,P2 Sg,P3 Pl,P1 Sg,Neg,weġibthomlix
Perf,P2 Sg,P3 Pl,P2 Sg,Pos,-
Perf,P2 Sg,P3 Pl,P2 Sg,Neg,-
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Pos,weġibthomlu
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Neg,weġibthomlux
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Pos,weġibthomlha
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Neg,weġibthomlhiex
Perf,P2 Sg,P3 Pl,P1 Pl,Pos,weġibthomlna
Perf,P2 Sg,P3 Pl,P1 Pl,Neg,weġibthomlniex
Perf,P2 Sg,P3 Pl,P2 Pl,Pos,-
Perf,P2 Sg,P3 Pl,P2 Pl,Neg,-
Perf,P2 Sg,P3 Pl,P3 Pl,Pos,weġibthomlhom
Perf,P2 Sg,P3 Pl,P3 Pl,Neg,weġibthomlhomx
Perf,P3 Sg Masc,-,-,Pos,wieġeb
Perf,P3 Sg Masc,-,-,Neg,wiġibx
Perf,P3 Sg Masc,P1 Sg,-,Pos,wiġibni
Perf,P3 Sg Masc,P1 Sg,-,Neg,wiġibnix
Perf,P3 Sg Masc,P2 Sg,-,Pos,wieġbek
