Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,xammejt
Perf,P1 Sg,-,-,Neg,xammejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,xammejtek
Perf,P1 Sg,P2 Sg,-,Neg,xammejtekx
Perf,P1 Sg,P2 Pl,-,Pos,xammejtkom
Perf,P1 Sg,P2 Pl,-,Neg,xammejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,xammejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,xammejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,xammejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,xammejthiex
Perf,P1 Sg,P3 Pl,-,Pos,xammejthom
Perf,P1 Sg,P3 Pl,-,Neg,xammejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,xammejtlek
Perf,P1 Sg,-,P2 Sg,Neg,xammejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,xammejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,xammejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,xammejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,xammejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,xammejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,xammejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,xammejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,xammejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,xammejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,xammejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,xammejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,xammejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,xammejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,xammejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,xammejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,xammejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,xammejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,xammejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,xammejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,xammejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,xammejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,xammejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,xammejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,xammejthilux
