Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ċempilt
Perf,P1 Sg,-,-,Neg,ċempiltx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ċempiltek
Perf,P1 Sg,P2 Sg,-,Neg,ċempiltekx
Perf,P1 Sg,P2 Pl,-,Pos,ċempiltkom
Perf,P1 Sg,P2 Pl,-,Neg,ċempiltkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ċempiltu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ċempiltux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ċempiltha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ċempilthiex
Perf,P1 Sg,P3 Pl,-,Pos,ċempilthom
Perf,P1 Sg,P3 Pl,-,Neg,ċempilthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ċempiltlek
Perf,P1 Sg,-,P2 Sg,Neg,ċempiltlekx
Perf,P1 Sg,-,P2 Pl,Pos,ċempiltilkom
Perf,P1 Sg,-,P2 Pl,Neg,ċempiltilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ċempiltlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ċempiltlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ċempiltilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ċempiltilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ċempiltilhom
Perf,P1 Sg,-,P3 Pl,Neg,ċempiltilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ċempilthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ċempilthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ċempilthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ċempilthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ċempilthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ċempilthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ċempilthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ċempilthulhiex
