Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ġġelidt
Perf,P1 Sg,-,-,Neg,ġġelidtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ġġelidtek
Perf,P1 Sg,P2 Sg,-,Neg,ġġelidtekx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ġġelidtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ġġelidtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ġġelidtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ġġelidthiex
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Pl,-,Pos,ġġelidtkom
Perf,P1 Sg,P2 Pl,-,Neg,ġġelidtkomx
Perf,P1 Sg,P3 Pl,-,Pos,ġġelidthom
Perf,P1 Sg,P3 Pl,-,Neg,ġġelidthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ġġelidtlek
Perf,P1 Sg,-,P2 Sg,Neg,ġġelidtlekx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ġġelidtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ġġelidtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ġġelidtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ġġelidtilhiex
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Pl,Pos,ġġelidtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ġġelidtilkomx
Perf,P1 Sg,-,P3 Pl,Pos,ġġelidtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ġġelidtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ġġelidthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ġġelidthulekx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ġġelidthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ġġelidthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ġġelidthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ġġelidthulhiex
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ġġelidthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ġġelidthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ġġelidthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ġġelidthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ġġelidthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ġġelidthilekx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ġġelidthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ġġelidthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ġġelidthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ġġelidthilhiex
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ġġelidthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ġġelidthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ġġelidthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ġġelidthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ġġelidthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ġġelidthomlokx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ġġelidthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ġġelidthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ġġelidthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ġġelidthomlhiex
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ġġelidthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ġġelidthomlkomx
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ġġelidthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ġġelidthomlhomx
Perf,P2 Sg,-,-,Pos,ġġelidt
Perf,P2 Sg,-,-,Neg,ġġelidtx
Perf,P2 Sg,P1 Sg,-,Pos,ġġelidtni
Perf,P2 Sg,P1 Sg,-,Neg,ġġelidtnix
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,ġġelidtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,ġġelidtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,ġġelidtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,ġġelidthiex
Perf,P2 Sg,P1 Pl,-,Pos,ġġelidtna
Perf,P2 Sg,P1 Pl,-,Neg,ġġelidtniex
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Pl,-,Pos,ġġelidthom
Perf,P2 Sg,P3 Pl,-,Neg,ġġelidthomx
Perf,P2 Sg,-,P1 Sg,Pos,ġġelidtli
Perf,P2 Sg,-,P1 Sg,Neg,ġġelidtlix
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,ġġelidtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,ġġelidtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,ġġelidtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,ġġelidtilhiex
Perf,P2 Sg,-,P1 Pl,Pos,ġġelidtilna
Perf,P2 Sg,-,P1 Pl,Neg,ġġelidtilniex
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Pl,Pos,ġġelidtilhom
Perf,P2 Sg,-,P3 Pl,Neg,ġġelidtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,ġġelidthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,ġġelidthulix
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ġġelidthulu
Perf,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ġġelidthulux
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ġġelidthulha
Perf,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ġġelidthulhiex
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,ġġelidthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,ġġelidthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Pos,ġġelidthulhom
Perf,P2 Sg,P3 Sg Masc,P3 Pl,Neg,ġġelidthulhomx
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Pos,ġġelidthieli
Perf,P2 Sg,P3 Sg Fem,P1 Sg,Neg,ġġelidthilix
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ġġelidthielu
Perf,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ġġelidthilux
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ġġelidthielha
Perf,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ġġelidthilhiex
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Pos,ġġelidthielna
Perf,P2 Sg,P3 Sg Fem,P1 Pl,Neg,ġġelidthilniex
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Perf,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Pos,ġġelidthielhom
Perf,P2 Sg,P3 Sg Fem,P3 Pl,Neg,ġġelidthilhomx
Perf,P2 Sg,P3 Pl,P1 Sg,Pos,ġġelidthomli
Perf,P2 Sg,P3 Pl,P1 Sg,Neg,ġġelidthomlix
Perf,P2 Sg,P3 Pl,P2 Sg,Pos,-
Perf,P2 Sg,P3 Pl,P2 Sg,Neg,-
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Pos,ġġelidthomlu
Perf,P2 Sg,P3 Pl,P3 Sg Masc,Neg,ġġelidthomlux
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Pos,ġġelidthomlha
Perf,P2 Sg,P3 Pl,P3 Sg Fem,Neg,ġġelidthomlhiex
Perf,P2 Sg,P3 Pl,P1 Pl,Pos,ġġelidthomlna
Perf,P2 Sg,P3 Pl,P1 Pl,Neg,ġġelidthomlniex
Perf,P2 Sg,P3 Pl,P2 Pl,Pos,-
Perf,P2 Sg,P3 Pl,P2 Pl,Neg,-
Perf,P2 Sg,P3 Pl,P3 Pl,Pos,ġġelidthomlhom
Perf,P2 Sg,P3 Pl,P3 Pl,Neg,ġġelidthomlhomx
Perf,P3 Sg Masc,-,-,Pos,ġġieled
Perf,P3 Sg Masc,-,-,Neg,ġġilidx
Perf,P3 Sg Masc,P1 Sg,-,Pos,ġġilidni
Perf,P3 Sg Masc,P1 Sg,-,Neg,ġġilidnix
Perf,P3 Sg Masc,P2 Sg,-,Pos,ġġieldek
Perf,P3 Sg Masc,P2 Sg,-,Neg,ġġildekx
Perf,P3 Sg Masc,P3 Sg Masc,-,Pos,ġġieldu
Perf,P3 Sg Masc,P3 Sg Masc,-,Neg,ġġildux
Perf,P3 Sg Masc,P3 Sg Fem,-,Pos,ġġilidha
Perf,P3 Sg Masc,P3 Sg Fem,-,Neg,ġġilidhiex
Perf,P3 Sg Masc,P1 Pl,-,Pos,ġġilidna
Perf,P3 Sg Masc,P1 Pl,-,Neg,ġġilidniex
Perf,P3 Sg Masc,P2 Pl,-,Pos,ġġilidkom
Perf,P3 Sg Masc,P2 Pl,-,Neg,ġġilidkomx
Perf,P3 Sg Masc,P3 Pl,-,Pos,ġġilidhom
