aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,ħabbatt
Perf,P1 Sg,-,-,Neg,ħabbattx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħabbattek
Perf,P1 Sg,P2 Sg,-,Neg,ħabbattekx
Perf,P1 Sg,P2 Pl,-,Pos,ħabbattkom
Perf,P1 Sg,P2 Pl,-,Neg,ħabbattkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħabbattu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħabbattux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħabbattha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħabbatthiex
Perf,P1 Sg,P3 Pl,-,Pos,ħabbatthom
Perf,P1 Sg,P3 Pl,-,Neg,ħabbatthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħabbattlek
Perf,P1 Sg,-,P2 Sg,Neg,ħabbattlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħabbattilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħabbattilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħabbattlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħabbattlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħabbattilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħabbattilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħabbattilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħabbattilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħabbatthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħabbatthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħabbatthulkom
