Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ħarbatt
Perf,P1 Sg,-,-,Neg,ħarbattx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħarbattek
Perf,P1 Sg,P2 Sg,-,Neg,ħarbattekx
Perf,P1 Sg,P2 Pl,-,Pos,ħarbattkom
Perf,P1 Sg,P2 Pl,-,Neg,ħarbattkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħarbattu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħarbattux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħarbattha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħarbatthiex
Perf,P1 Sg,P3 Pl,-,Pos,ħarbatthom
Perf,P1 Sg,P3 Pl,-,Neg,ħarbatthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħarbattlek
Perf,P1 Sg,-,P2 Sg,Neg,ħarbattlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħarbattilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħarbattilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħarbattlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħarbattlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħarbattilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħarbattilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħarbattilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħarbattilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħarbatthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħarbatthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħarbatthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ħarbatthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ħarbatthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ħarbatthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ħarbatthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ħarbatthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ħarbatthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ħarbatthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ħarbatthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ħarbatthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ħarbatthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ħarbatthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ħarbatthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ħarbatthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ħarbatthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ħarbatthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ħarbatthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ħarbatthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ħarbatthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ħarbatthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ħarbatthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ħarbatthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ħarbatthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ħarbatthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ħarbatthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ħarbatthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ħarbatthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ħarbatthomlhomx
Perf,P1 Pl,-,-,Pos,ħarbatna
Perf,P1 Pl,-,-,Neg,ħarbatniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ħarbatniek
Perf,P1 Pl,P2 Sg,-,Neg,ħarbatnikx
Perf,P1 Pl,P2 Pl,-,Pos,ħarbatniekom
Perf,P1 Pl,P2 Pl,-,Neg,ħarbatnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ħarbatnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ħarbatnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ħarbatnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ħarbatnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ħarbatniehom
Perf,P1 Pl,P3 Pl,-,Neg,ħarbatnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
