Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ħarist
Perf,P1 Sg,-,-,Neg,ħaristx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħaristek
Perf,P1 Sg,P2 Sg,-,Neg,ħaristekx
Perf,P1 Sg,P2 Pl,-,Pos,ħaristkom
Perf,P1 Sg,P2 Pl,-,Neg,ħaristkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħaristu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħaristux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħaristha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħaristhiex
Perf,P1 Sg,P3 Pl,-,Pos,ħaristhom
Perf,P1 Sg,P3 Pl,-,Neg,ħaristhomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħaristlek
Perf,P1 Sg,-,P2 Sg,Neg,ħaristlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħaristilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħaristilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħaristlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħaristlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħaristilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħaristilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħaristilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħaristilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħaristhulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħaristhulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħaristhulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ħaristhulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ħaristhulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ħaristhulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ħaristhulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ħaristhulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ħaristhulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ħaristhulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ħaristhielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ħaristhilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ħaristhielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ħaristhilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ħaristhielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ħaristhilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ħaristhielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ħaristhilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ħaristhielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ħaristhilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ħaristhomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ħaristhomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ħaristhomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ħaristhomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ħaristhomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ħaristhomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ħaristhomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ħaristhomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ħaristhomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ħaristhomlhomx
Perf,P1 Pl,-,-,Pos,ħarisna
Perf,P1 Pl,-,-,Neg,ħarisniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ħarisniek
Perf,P1 Pl,P2 Sg,-,Neg,ħarisnikx
Perf,P1 Pl,P2 Pl,-,Pos,ħarisniekom
Perf,P1 Pl,P2 Pl,-,Neg,ħarisnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ħarisnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ħarisnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ħarisnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ħarisnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ħarisniehom
Perf,P1 Pl,P3 Pl,-,Neg,ħarisnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
