Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ħriġt
Perf,P1 Sg,-,-,Neg,ħriġtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħriġtek
Perf,P1 Sg,P2 Sg,-,Neg,ħriġtekx
Perf,P1 Sg,P2 Pl,-,Pos,ħriġtkom
Perf,P1 Sg,P2 Pl,-,Neg,ħriġtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħriġtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħriġtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħriġtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħriġthiex
Perf,P1 Sg,P3 Pl,-,Pos,ħriġthom
Perf,P1 Sg,P3 Pl,-,Neg,ħriġthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħriġtlek
Perf,P1 Sg,-,P2 Sg,Neg,ħriġtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħriġtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħriġtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħriġtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħriġtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħriġtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħriġtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħriġtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħriġtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħriġthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħriġthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħriġthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ħriġthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ħriġthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ħriġthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ħriġthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ħriġthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ħriġthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ħriġthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ħriġthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ħriġthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ħriġthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ħriġthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ħriġthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ħriġthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ħriġthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ħriġthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ħriġthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ħriġthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ħriġthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ħriġthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ħriġthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ħriġthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ħriġthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ħriġthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ħriġthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ħriġthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ħriġthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ħriġthomlhomx
Perf,P1 Pl,-,-,Pos,ħriġna
Perf,P1 Pl,-,-,Neg,ħriġniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ħriġniek
Perf,P1 Pl,P2 Sg,-,Neg,ħriġnikx
Perf,P1 Pl,P2 Pl,-,Pos,ħriġniekom
Perf,P1 Pl,P2 Pl,-,Neg,ħriġnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,ħriġnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,ħriġnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,ħriġnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,ħriġnihiex
Perf,P1 Pl,P3 Pl,-,Pos,ħriġniehom
Perf,P1 Pl,P3 Pl,-,Neg,ħriġnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,ħriġnielek
Perf,P1 Pl,-,P2 Sg,Neg,ħriġnilekx
Perf,P1 Pl,-,P2 Pl,Pos,ħriġnielkom
Perf,P1 Pl,-,P2 Pl,Neg,ħriġnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,ħriġnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,ħriġnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,ħriġnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,ħriġnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,ħriġnielhom
Perf,P1 Pl,-,P3 Pl,Neg,ħriġnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,ħriġnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,ħriġnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,ħriġnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,ħriġnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,ħriġnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,ħriġnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,ħriġnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,ħriġnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,ħriġnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,ħriġnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,ħriġnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,ħriġnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,ħriġnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,ħriġnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,ħriġnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,ħriġnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,ħriġnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,ħriġnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,ħriġnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,ħriġnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
