Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,ħassejt
Perf,P1 Sg,-,-,Neg,ħassejtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħassejtek
Perf,P1 Sg,P2 Sg,-,Neg,ħassejtekx
Perf,P1 Sg,P2 Pl,-,Pos,ħassejtkom
Perf,P1 Sg,P2 Pl,-,Neg,ħassejtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħassejtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħassejtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħassejtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħassejthiex
Perf,P1 Sg,P3 Pl,-,Pos,ħassejthom
Perf,P1 Sg,P3 Pl,-,Neg,ħassejthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħassejtlek
Perf,P1 Sg,-,P2 Sg,Neg,ħassejtlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħassejtilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħassejtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħassejtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħassejtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħassejtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħassejtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħassejtilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħassejtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħassejthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħassejthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħassejthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ħassejthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ħassejthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ħassejthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ħassejthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ħassejthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ħassejthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ħassejthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ħassejthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ħassejthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ħassejthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ħassejthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ħassejthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ħassejthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ħassejthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ħassejthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ħassejthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ħassejthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ħassejthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ħassejthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ħassejthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ħassejthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ħassejthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ħassejthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ħassejthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ħassejthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,ħassejthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,ħassejthomlhomx
Perf,P1 Pl,-,-,Pos,ħassejna
Perf,P1 Pl,-,-,Neg,ħassejniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,ħassejniek
