aspect,subj,do,io,pol,surface
Perf,P1 Sg,-,-,Pos,ħdart
Perf,P1 Sg,-,-,Neg,ħdartx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,ħdartek
Perf,P1 Sg,P2 Sg,-,Neg,ħdartekx
Perf,P1 Sg,P2 Pl,-,Pos,ħdartkom
Perf,P1 Sg,P2 Pl,-,Neg,ħdartkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,ħdartu
Perf,P1 Sg,P3 Sg Masc,-,Neg,ħdartux
Perf,P1 Sg,P3 Sg Fem,-,Pos,ħdartha
Perf,P1 Sg,P3 Sg Fem,-,Neg,ħdarthiex
Perf,P1 Sg,P3 Pl,-,Pos,ħdarthom
Perf,P1 Sg,P3 Pl,-,Neg,ħdarthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,ħdartlek
Perf,P1 Sg,-,P2 Sg,Neg,ħdartlekx
Perf,P1 Sg,-,P2 Pl,Pos,ħdartilkom
Perf,P1 Sg,-,P2 Pl,Neg,ħdartilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,ħdartlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,ħdartlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,ħdartilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,ħdartilhiex
Perf,P1 Sg,-,P3 Pl,Pos,ħdartilhom
Perf,P1 Sg,-,P3 Pl,Neg,ħdartilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,ħdarthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,ħdarthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,ħdarthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,ħdarthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,ħdarthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,ħdarthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,ħdarthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,ħdarthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,ħdarthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,ħdarthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,ħdarthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,ħdarthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,ħdarthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,ħdarthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,ħdarthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,ħdarthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,ħdarthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,ħdarthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,ħdarthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,ħdarthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,ħdarthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,ħdarthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,ħdarthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,ħdarthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,ħdarthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,ħdarthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,ħdarthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,ħdarthomlhiex
