Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,żidt
Perf,P1 Sg,-,-,Neg,żidtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,żidtek
Perf,P1 Sg,P2 Sg,-,Neg,żidtekx
Perf,P1 Sg,P2 Pl,-,Pos,żidtkom
Perf,P1 Sg,P2 Pl,-,Neg,żidtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,żidtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,żidtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,żidtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,żidthiex
Perf,P1 Sg,P3 Pl,-,Pos,żidthom
Perf,P1 Sg,P3 Pl,-,Neg,żidthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,żidtlek
Perf,P1 Sg,-,P2 Sg,Neg,żidtlekx
Perf,P1 Sg,-,P2 Pl,Pos,żidtilkom
Perf,P1 Sg,-,P2 Pl,Neg,żidtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,żidtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,żidtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,żidtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,żidtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,żidtilhom
Perf,P1 Sg,-,P3 Pl,Neg,żidtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,żidthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,żidthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,żidthulkom
