Aspect,Subject,DO,IO,Polarity,Surface form
Perf,P1 Sg,-,-,Pos,żviluppajt
Perf,P1 Sg,-,-,Neg,żviluppajtx
Perf,P1 Sg,P1 Sg,-,Pos,-
Perf,P1 Sg,P1 Sg,-,Neg,-
Perf,P1 Sg,P1 Pl,-,Pos,-
Perf,P1 Sg,P1 Pl,-,Neg,-
Perf,P1 Sg,P2 Sg,-,Pos,żviluppajtek
Perf,P1 Sg,P2 Sg,-,Neg,żviluppajtekx
Perf,P1 Sg,P2 Pl,-,Pos,żviluppajtkom
Perf,P1 Sg,P2 Pl,-,Neg,żviluppajtkomx
Perf,P1 Sg,P3 Sg Masc,-,Pos,żviluppajtu
Perf,P1 Sg,P3 Sg Masc,-,Neg,żviluppajtux
Perf,P1 Sg,P3 Sg Fem,-,Pos,żviluppajtha
Perf,P1 Sg,P3 Sg Fem,-,Neg,żviluppajthiex
Perf,P1 Sg,P3 Pl,-,Pos,żviluppajthom
Perf,P1 Sg,P3 Pl,-,Neg,żviluppajthomx
Perf,P1 Sg,-,P1 Sg,Pos,-
Perf,P1 Sg,-,P1 Sg,Neg,-
Perf,P1 Sg,-,P1 Pl,Pos,-
Perf,P1 Sg,-,P1 Pl,Neg,-
Perf,P1 Sg,-,P2 Sg,Pos,żviluppajtlek
Perf,P1 Sg,-,P2 Sg,Neg,żviluppajtlekx
Perf,P1 Sg,-,P2 Pl,Pos,żviluppajtilkom
Perf,P1 Sg,-,P2 Pl,Neg,żviluppajtilkomx
Perf,P1 Sg,-,P3 Sg Masc,Pos,żviluppajtlu
Perf,P1 Sg,-,P3 Sg Masc,Neg,żviluppajtlux
Perf,P1 Sg,-,P3 Sg Fem,Pos,żviluppajtilha
Perf,P1 Sg,-,P3 Sg Fem,Neg,żviluppajtilhiex
Perf,P1 Sg,-,P3 Pl,Pos,żviluppajtilhom
Perf,P1 Sg,-,P3 Pl,Neg,żviluppajtilhomx
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Pos,żviluppajthulek
Perf,P1 Sg,P3 Sg Masc,P2 Sg,Neg,żviluppajthulekx
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Pos,żviluppajthulkom
Perf,P1 Sg,P3 Sg Masc,P2 Pl,Neg,żviluppajthulkomx
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Pos,żviluppajthulu
Perf,P1 Sg,P3 Sg Masc,P3 Sg Masc,Neg,żviluppajthulux
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Pos,żviluppajthulha
Perf,P1 Sg,P3 Sg Masc,P3 Sg Fem,Neg,żviluppajthulhiex
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Pos,żviluppajthulhom
Perf,P1 Sg,P3 Sg Masc,P3 Pl,Neg,żviluppajthulhomx
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Sg,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Pos,żviluppajthielek
Perf,P1 Sg,P3 Sg Fem,P2 Sg,Neg,żviluppajthilekx
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Pos,żviluppajthielkom
Perf,P1 Sg,P3 Sg Fem,P2 Pl,Neg,żviluppajthilkomx
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Pos,żviluppajthielu
Perf,P1 Sg,P3 Sg Fem,P3 Sg Masc,Neg,żviluppajthilux
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Pos,żviluppajthielha
Perf,P1 Sg,P3 Sg Fem,P3 Sg Fem,Neg,żviluppajthilhiex
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Pos,żviluppajthielhom
Perf,P1 Sg,P3 Sg Fem,P3 Pl,Neg,żviluppajthilhomx
Perf,P1 Sg,P3 Pl,P1 Sg,Pos,-
Perf,P1 Sg,P3 Pl,P1 Sg,Neg,-
Perf,P1 Sg,P3 Pl,P1 Pl,Pos,-
Perf,P1 Sg,P3 Pl,P1 Pl,Neg,-
Perf,P1 Sg,P3 Pl,P2 Sg,Pos,żviluppajthomlok
Perf,P1 Sg,P3 Pl,P2 Sg,Neg,żviluppajthomlokx
Perf,P1 Sg,P3 Pl,P2 Pl,Pos,żviluppajthomlkom
Perf,P1 Sg,P3 Pl,P2 Pl,Neg,żviluppajthomlkomx
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Pos,żviluppajthomlu
Perf,P1 Sg,P3 Pl,P3 Sg Masc,Neg,żviluppajthomlux
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Pos,żviluppajthomlha
Perf,P1 Sg,P3 Pl,P3 Sg Fem,Neg,żviluppajthomlhiex
Perf,P1 Sg,P3 Pl,P3 Pl,Pos,żviluppajthomlhom
Perf,P1 Sg,P3 Pl,P3 Pl,Neg,żviluppajthomlhomx
Perf,P1 Pl,-,-,Pos,żviluppajna
Perf,P1 Pl,-,-,Neg,żviluppajniex
Perf,P1 Pl,P1 Sg,-,Pos,-
Perf,P1 Pl,P1 Sg,-,Neg,-
Perf,P1 Pl,P1 Pl,-,Pos,-
Perf,P1 Pl,P1 Pl,-,Neg,-
Perf,P1 Pl,P2 Sg,-,Pos,żviluppajniek
Perf,P1 Pl,P2 Sg,-,Neg,żviluppajnikx
Perf,P1 Pl,P2 Pl,-,Pos,żviluppajniekom
Perf,P1 Pl,P2 Pl,-,Neg,żviluppajnikomx
Perf,P1 Pl,P3 Sg Masc,-,Pos,żviluppajnieh
Perf,P1 Pl,P3 Sg Masc,-,Neg,żviluppajnihx
Perf,P1 Pl,P3 Sg Fem,-,Pos,żviluppajnieha
Perf,P1 Pl,P3 Sg Fem,-,Neg,żviluppajnihiex
Perf,P1 Pl,P3 Pl,-,Pos,żviluppajniehom
Perf,P1 Pl,P3 Pl,-,Neg,żviluppajnihomx
Perf,P1 Pl,-,P1 Sg,Pos,-
Perf,P1 Pl,-,P1 Sg,Neg,-
Perf,P1 Pl,-,P1 Pl,Pos,-
Perf,P1 Pl,-,P1 Pl,Neg,-
Perf,P1 Pl,-,P2 Sg,Pos,żviluppajnielek
Perf,P1 Pl,-,P2 Sg,Neg,żviluppajnilekx
Perf,P1 Pl,-,P2 Pl,Pos,żviluppajnielkom
Perf,P1 Pl,-,P2 Pl,Neg,żviluppajnilkomx
Perf,P1 Pl,-,P3 Sg Masc,Pos,żviluppajnielu
Perf,P1 Pl,-,P3 Sg Masc,Neg,żviluppajnilux
Perf,P1 Pl,-,P3 Sg Fem,Pos,żviluppajnielha
Perf,P1 Pl,-,P3 Sg Fem,Neg,żviluppajnilhiex
Perf,P1 Pl,-,P3 Pl,Pos,żviluppajnielhom
Perf,P1 Pl,-,P3 Pl,Neg,żviluppajnilhomx
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Masc,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Pos,żviluppajnihulek
Perf,P1 Pl,P3 Sg Masc,P2 Sg,Neg,żviluppajnihulekx
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Pos,żviluppajnihulkom
Perf,P1 Pl,P3 Sg Masc,P2 Pl,Neg,żviluppajnihulkomx
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Pos,żviluppajnihulu
Perf,P1 Pl,P3 Sg Masc,P3 Sg Masc,Neg,żviluppajnihulux
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Pos,żviluppajnihulha
Perf,P1 Pl,P3 Sg Masc,P3 Sg Fem,Neg,żviluppajnihulhiex
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Pos,żviluppajnihulhom
Perf,P1 Pl,P3 Sg Masc,P3 Pl,Neg,żviluppajnihulhomx
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Sg,Neg,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Pos,-
Perf,P1 Pl,P3 Sg Fem,P1 Pl,Neg,-
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Pos,żviluppajnihielek
Perf,P1 Pl,P3 Sg Fem,P2 Sg,Neg,żviluppajnihilekx
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Pos,żviluppajnihielkom
Perf,P1 Pl,P3 Sg Fem,P2 Pl,Neg,żviluppajnihilkomx
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Pos,żviluppajnihielu
Perf,P1 Pl,P3 Sg Fem,P3 Sg Masc,Neg,żviluppajnihilux
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Pos,żviluppajnihielha
Perf,P1 Pl,P3 Sg Fem,P3 Sg Fem,Neg,żviluppajnihilhiex
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Pos,żviluppajnihielhom
Perf,P1 Pl,P3 Sg Fem,P3 Pl,Neg,żviluppajnihilhomx
Perf,P1 Pl,P3 Pl,P1 Sg,Pos,-
Perf,P1 Pl,P3 Pl,P1 Sg,Neg,-
Perf,P1 Pl,P3 Pl,P1 Pl,Pos,-
Perf,P1 Pl,P3 Pl,P1 Pl,Neg,-
Perf,P1 Pl,P3 Pl,P2 Sg,Pos,żviluppajnihomlok
Perf,P1 Pl,P3 Pl,P2 Sg,Neg,żviluppajnihomlokx
Perf,P1 Pl,P3 Pl,P2 Pl,Pos,żviluppajnihomlkom
Perf,P1 Pl,P3 Pl,P2 Pl,Neg,żviluppajnihomlkomx
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Pos,żviluppajnihomlu
Perf,P1 Pl,P3 Pl,P3 Sg Masc,Neg,żviluppajnihomlux
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Pos,żviluppajnihomlha
Perf,P1 Pl,P3 Pl,P3 Sg Fem,Neg,żviluppajnihomlhiex
Perf,P1 Pl,P3 Pl,P3 Pl,Pos,żviluppajnihomlhom
Perf,P1 Pl,P3 Pl,P3 Pl,Neg,żviluppajnihomlhomx
Perf,P2 Sg,-,-,Pos,żviluppajt
Perf,P2 Sg,-,-,Neg,żviluppajtx
Perf,P2 Sg,P1 Sg,-,Pos,żviluppajtni
Perf,P2 Sg,P1 Sg,-,Neg,żviluppajtnix
Perf,P2 Sg,P1 Pl,-,Pos,żviluppajtna
Perf,P2 Sg,P1 Pl,-,Neg,żviluppajtniex
Perf,P2 Sg,P2 Sg,-,Pos,-
Perf,P2 Sg,P2 Sg,-,Neg,-
Perf,P2 Sg,P2 Pl,-,Pos,-
Perf,P2 Sg,P2 Pl,-,Neg,-
Perf,P2 Sg,P3 Sg Masc,-,Pos,żviluppajtu
Perf,P2 Sg,P3 Sg Masc,-,Neg,żviluppajtux
Perf,P2 Sg,P3 Sg Fem,-,Pos,żviluppajtha
Perf,P2 Sg,P3 Sg Fem,-,Neg,żviluppajthiex
Perf,P2 Sg,P3 Pl,-,Pos,żviluppajthom
Perf,P2 Sg,P3 Pl,-,Neg,żviluppajthomx
Perf,P2 Sg,-,P1 Sg,Pos,żviluppajtli
Perf,P2 Sg,-,P1 Sg,Neg,żviluppajtlix
Perf,P2 Sg,-,P1 Pl,Pos,żviluppajtilna
Perf,P2 Sg,-,P1 Pl,Neg,żviluppajtilniex
Perf,P2 Sg,-,P2 Sg,Pos,-
Perf,P2 Sg,-,P2 Sg,Neg,-
Perf,P2 Sg,-,P2 Pl,Pos,-
Perf,P2 Sg,-,P2 Pl,Neg,-
Perf,P2 Sg,-,P3 Sg Masc,Pos,żviluppajtlu
Perf,P2 Sg,-,P3 Sg Masc,Neg,żviluppajtlux
Perf,P2 Sg,-,P3 Sg Fem,Pos,żviluppajtilha
Perf,P2 Sg,-,P3 Sg Fem,Neg,żviluppajtilhiex
Perf,P2 Sg,-,P3 Pl,Pos,żviluppajtilhom
Perf,P2 Sg,-,P3 Pl,Neg,żviluppajtilhomx
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Pos,żviluppajthuli
Perf,P2 Sg,P3 Sg Masc,P1 Sg,Neg,żviluppajthulix
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Pos,żviluppajthulna
Perf,P2 Sg,P3 Sg Masc,P1 Pl,Neg,żviluppajthulniex
Perf,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
